AuthorNo,pmid,name,ORCID,LastName,ForeName,Initials,affiliation,ISEmail,ISBiohub author,Suffix,BiohubAuthor,MatchName,TrustMatch,MatchType,OrcidMatch,EmailMatch,AffiliationMatch,Biohub,Biohub-Funding,Stanford,UCSF,Berkeley,Email,EqualContrib
e7dcb281-e904-4d0b-aefe-481f81029c29,36252253,John Schrom,https://orcid.org/0000-0002-3871-4311,Schrom,John,J,"University of California, San Francisco, San Francisco, California.",,,,,,,,,,,,,,,,,
91de266e-a3b5-41dc-9246-7499b68379d6,36252253,Carina Marquez,,Marquez,Carina,C,"University of California, San Francisco, San Francisco, California.",,,,,,,,,,,,,,,,,
646007b8-ad39-41e0-aad4-d58813ad15ab,36252253,Maya Petersen,,Petersen,Maya,M,"University of California, Berkeley, Berkeley, California.",,,,,,,,,,,,,,,,,
6ea6040a-5c37-4ec6-aa32-0831d71e4b61,36252253,Joe DeRisi,https://orcid.org/0000-0002-4611-9205,DeRisi,Joe,J,"Chan Zuckerberg Biohub, San Francisco, California.",,Yes,,President,"DeRisi, Joe",Yes,NN,True,,,,,,,,,
fc9f322b-d5bc-43cf-9c7d-14fb31a86243,36252253,Diane Havlir,https://orcid.org/0000-0003-0761-3136,Havlir,Diane,D,"University of California, San Francisco, San Francisco, California.",,,,,,,,,,,,,,,,,
1b7cf80d-f118-4cd1-9b43-8078e98b2170,36220098,S Andrew Shuster,,Shuster,S Andrew,SA,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA; Neurosciences Program, Stanford University, CA 94305, USA.",,,,,,,,,,,,,,,,,
ec63838b-3a50-4389-929c-22222a6dc605,36220098,Jiefu Li,,Li,Jiefu,J,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
9b4996eb-babd-4d45-a7ba-94c4aba2e11c,36220098,URee Chon,,Chon,URee,U,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA; Neurosciences Program, Stanford University, CA 94305, USA.",,,,,,,,,,,,,,,,,
5b09ff8d-39dc-4b45-9c4c-e66c1138eea7,36220098,Miley C Sinantha-Hu,,Sinantha-Hu,Miley C,MC,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
11f9cea1-e47c-44fd-8f5d-6fc5befef992,36220098,David J Luginbuhl,,Luginbuhl,David J,DJ,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
25e789bb-9e86-4efe-9b6a-5bb3b589b4f6,36220098,Namrata D Udeshi,,Udeshi,Namrata D,ND,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
1008fc43-a791-4c4a-886a-d6586798eadf,36220098,Dominique Kiki Carey,,Carey,Dominique Kiki,DK,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
e4893126-82dd-425a-a2f1-bcf88eb21fb1,36220098,Yukari H Takeo,,Takeo,Yukari H,YH,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
03c14da4-089d-41e0-a96e-feaf78d5e732,36220098,Qijing Xie,,Xie,Qijing,Q,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA; Neurosciences Program, Stanford University, CA 94305, USA.",,,,,,,,,,,,,,,,,
5bc18ad5-8ef5-4d4e-8d8d-619c0e8307ac,36220098,Chuanyun Xu,,Xu,Chuanyun,C,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
39b2af0e-6140-4391-84e1-95fa0bf1b64c,36220098,D R Mani,,Mani,D R,DR,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
