,save datetime,author list,journal,title,abstract,pmid,doi,url,version,epost date,publish date,affiliations list,all affiliations,pdf url,article_source,record number
0,"2022-07-28, 21:24:28","Laura J. Keller, Taylor H. Nguyen, Lawrence Liu, Markus Lakemeyer, Danielle J. Gelsinger, Rachael Chanin, Nhi Ngo, Kenneth M. Lum, Franco Faucher, Phillip Ipock, Micah J. Niphakis, Ami S. Bhatt, Anthony J. O’Donoghue, Kerwyn Casey Huang, Matthew Bogyo",biorxiv,Chemoproteomic identification of a dipeptidyl peptidase 4 (DPP4) homolog in Bacteroides thetaiotaomicron important for envelope integrity and fitness,"Serine hydrolases play important roles in signaling and human metabolism, yet little is known about the functions of these enzymes in gut commensal bacteria. Using bioinformatics and chemoproteomics, we identify serine hydrolases in the gut commensal Bacteroides thetaiotaomicron that are specific to the Bacteroidetes phylum. Two are predicted homologs of the human protease dipeptidyl peptidase 4 (hDPP4), a key enzyme that regulates insulin signaling. Functional studies reveal that BT4193 is a true homolog of hDPP4 while the other is misannotated and is a proline-specific triaminopeptidase. We demonstrate that BT4193 is important for envelope integrity and is inhibited by FDA-approved type 2 diabetes drugs that target hDPP4. Loss of BT4193 reduces B. thetaiotaomicron fitness during in vitro growth within a diverse community. Taken together, our findings suggest that serine hydrolases contribute to gut microbiota dynamics and may be off-targets for existing drugs that could cause unintended impact on the microbiota.",,10.1101/2022.07.25.501481,http://www.biorxiv.org/content/10.1101/2022.07.25.501481v1,2022.07.25.501481,2022-07-26,,"Chan Zuckerberg Biohub; Department of Bioengineering, Stanford University; Department of Chemical & Systems Biology, Stanford University School of Medicine; Department of Chemistry, Stanford University; Department of Genetics, Stanford University School of Medicine; Department of Microbiology and Immunology, Stanford University School of Medicine; Department of Pathology, Stanford University School of Medicine; Divisions of Hematology and Blood & Marrow Transplantation, Department of Medicine, Stanford University; Institute of Organic Chemistry and Macromolecular Chemistry, Friedrich- Schiller-Universität; Lundbeck La Jolla Research Center; Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California","Department of Chemical & Systems Biology, Stanford University School of Medicine; Department of Bioengineering, Stanford University; Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California; Department of Pathology, Stanford University School of Medicine; Institute of Organic Chemistry and Macromolecular Chemistry, Friedrich- Schiller-Universität; Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California; Department of Genetics, Stanford University School of Medicine; Divisions of Hematology and Blood & Marrow Transplantation, Department of Medicine, Stanford University; Lundbeck La Jolla Research Center; Lundbeck La Jolla Research Center; Department of Chemistry, Stanford University; Department of Pathology, Stanford University School of Medicine; Lundbeck La Jolla Research Center; Department of Genetics, Stanford University School of Medicine; Divisions of Hematology and Blood & Marrow Transplantation, Department of Medicine, Stanford University; Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine; Chan Zuckerberg Biohub; Department of Pathology, Stanford University School of Medicine; Department of Microbiology and Immunology, Stanford University School of Medicine",,,1
1,"2022-07-28, 21:24:28","Sebastian N.W. Hoernstein, Buğra Özdemir, Nico van Gessel, Alessandra A. Miniera, Bruno Rogalla von Bieberstein, Lars Nilges, Joana Schweikert Farinha, Ramona Komoll, Stella Glauz, Tim Weckerle, Friedrich Scherzinger, Marta Rodriguez-Franco, Stefanie J. Müller-Schüssele, Ralf Reski",biorxiv,"A deeply conserved protease, acylamino acid-releasing enzyme (AARE), acts in plant ageing","Reactive oxygen species (ROS) are constant by-products of aerobic life. In excess, ROS lead to cytotoxic protein aggregates, which are a hallmark of ageing in animals and linked to age-related pathologies in humans. Acylamino acid-releasing enzymes (AARE) are bifunctional serine proteases, acting on oxidized proteins. AARE are found in all domains of life, albeit under different names, such as acylpeptide hydrolase (APEH/ACPH), acylaminoacyl peptidase (AAP), or oxidized protein hydrolase (OPH). In humans, AARE malfunction is associated with age-related pathologies, while their function in plants is less clear. Here, we provide a detailed analysis of AARE genes in the plant lineage and an in-depth analysis of AARE localization and function in the moss Physcomitrella and the angiosperm Arabidopsis. AARE loss-of-function mutants have not been described for any organism so far. We generated and analysed such mutants and describe a connection between AARE function, aggregation of oxidized proteins and plant ageing, including accelerated developmental progression and reduced life span. Our findings complement similar findings in animals and humans, and support a unified concept of ageing.",,10.1101/2022.05.18.492440,http://www.biorxiv.org/content/10.1101/2022.05.18.492440v2,2022.05.18.492440,2022-07-26,,"Cell Biology, Faculty of Biology, University of Freiburg; Molecular Botany, Department of Biology, Technical University of Kaiserslautern; Plant Biotechnology, Faculty of Biology, University of Freiburg; Signalling Research Centres BIOSS and CIBSS","Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Plant Biotechnology, Faculty of Biology, University of Freiburg; Cell Biology, Faculty of Biology, University of Freiburg; Molecular Botany, Department of Biology, Technical University of Kaiserslautern; Plant Biotechnology, Faculty of Biology, University of Freiburg; Signalling Research Centres BIOSS and CIBSS",,,1
2,"2022-07-28, 21:24:28","Sanjeev S. Ranade, Sean Whalen, Ivana Zlatanova, Tomohiro Nishino, Benjamin van Soldt, Lin Ye, Angelo Pelonero, Langley Grace Wallace, Yu Huang, Michael Alexanian, Arun Padmanabhan, Barbara Gonzalez-Teran, Pawel Przytycki, Mauro W. Costa, Casey A. Gifford, Brian L. Black, Katherine S. Pollard, Deepak Srivastava",biorxiv,Single Cell Epigenetics Reveal Cell-Cell Communication Networks in Normal and Abnormal Cardiac Morphogenesis,"Communication between myriad cell types during organ formation underlies proper morphogenesis1. In cardiac development, reciprocal signaling between mesoderm progenitors and neural crest cells is essential, and its disruption leads to congenital heart malformations, the most common human birth defect. However, mechanistic interrogation of temporal gene networks and cis regulatory elements in this crosstalk is limited2,3. Here, we integrated single cell chromatin accessibility and transcriptomics to establish an unbiased and temporal epigenomic map of the embryonic mouse heart over multiple stages and developed machine learning models to predict enhancers for heart and neural crest. We leveraged these advances to determine the consequences of dysregulated signaling at single cell resolution caused by deletion of TBX1, a transcription factor that causes morphogenetic defects of the cardiac outflow tract in humans and functions non-cell autonomously in cardiac mesodermal progenitors to direct pharyngeal neural crest differentiation4–6. Loss of Tbx1 in mice led to broad closure of chromatin regions enriched in cardiac progenitor transcription factor motifs within a narrow subset of cardiac mesodermal progenitors and correlated with diminished expression of numerous members of the fibroblast growth factor, retinoic acid, Notch and Semaphorin pathways. In affected progenitors, ectopic accessibility and expression of posterior heart field factors in the anterior heart field suggested impaired axial patterning. In response, a subset of cardiac neural crest cells displayed epigenomic and transcriptional defects, indicating a failure of differentiation corresponding to dysregulation of the anterior-posterior gradient of pharyngeal Hox gene expression. This study demonstrates that single-cell genomics and machine learning can generate a mechanistic model for how disruptions in cell communication selectively affect spatiotemporally dynamic regulatory networks in cardiogenesis.",,10.1101/2022.07.25.501458,http://www.biorxiv.org/content/10.1101/2022.07.25.501458v1,2022.07.25.501458,2022-07-25,,"Cardiovascular Research Institute, University of California; Chan Zuckerberg Biohub; Department of Biochemistry and Biophysics, University of California; Department of Epidemiology & Biostatistics, Institute for Computational Health Sciences, and Institute for Human Genetics, University of California; Department of Genetics, Stanford University School of Medicine; Department of Medicine, Cardiology Division, UCSF School of Medicine; Department of Pediatrics, University of California; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone","Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Cardiovascular Research Institute, University of California; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Department of Medicine, Cardiology Division, UCSF School of Medicine; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Department of Genetics, Stanford University School of Medicine; Cardiovascular Research Institute, University of California; Gladstone Institutes; Chan Zuckerberg Biohub; Department of Epidemiology & Biostatistics, Institute for Computational Health Sciences, and Institute for Human Genetics, University of California; Gladstone Institutes; Roddenberry Center for Stem Cell Biology and Medicine at Gladstone; Department of Pediatrics, University of California; Department of Biochemistry and Biophysics, University of California",,,1
3,"2022-07-28, 21:24:28","Min Wang, Lucas J. Osborn, Sunit Jain, Xiandong Meng, Allison Weakley, Jia Yan, William J. Massey, Venkateshwari Varadharajan, Anthony Horak, Rakhee Banerjee, Daniela S. Allende, Ricky E. Chan, Adeline M. Hajjar, Alejandra Dimas, Aishan Zhao, Kazuki Nagashima, Alice G. Cheng, Steven Higginbottom, J. Mark Brown, Michael A. Fischbach",biorxiv,Strain dropouts reveal interactions that govern the metabolic output of the gut microbiome,"The gut microbiome is complex, raising questions about the role of individual strains in the community. Here, we address this question by focusing on a functional unit within the community, the metabolic niche that controls bile acid 7α-dehydroxylation. By constructing variants of a complex defined community in which we drop out strains that occupy this niche, we explore how interactions within and between niches shape community-level metabolism. Omitting both members of the niche, Clostridium scindens (Cs) and Clostridium hylemonae (Ch), eliminates secondary bile acid production and reshapes the community in a highly specific manner: eight strains go up or down in relative abundance by >100-fold, while the remaining strains are largely unaffected. In single-strain dropout communities (i.e., a strain swap within the niche), Cs and Ch reach the same relative abundance and dehydroxylate bile acids to a similar extent. However, the effect on strains in other niches differs markedly: Clostridium sporogenes increases >1000-fold in the ΔCs but not ΔCh dropout, reshaping the pool of microbiome-derived phenylalanine metabolites. Thus, strains that are functionally redundant within a niche can have widely varying impacts outside the niche, and a strain swap can ripple through the community in an unpredictable manner, resulting in a large impact on an unrelated community-level phenotype. Mice colonized by the ΔCsΔCh community show decreased liver steatosis relative to those colonized by the ΔCh community, demonstrating that a single strain from the microbiome can have a substantive impact on host physiology. Our work opens the door to the mechanistic studies of the role of an individual strain on community ecology and host physiology.",,10.1101/2022.07.25.501461,http://www.biorxiv.org/content/10.1101/2022.07.25.501461v1,2022.07.25.501461,2022-07-25,,"Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; ChEM-H Institute, Stanford University; Chan Zuckerberg Biohub; Department of Anatomical Pathology, Cleveland Clinic; Department of Bioengineering, Stanford University; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; Institute for Computational Biology, Case Western Reserve University","Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; ChEM-H Institute, Stanford University; Chan Zuckerberg Biohub; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; ChEM-H Institute, Stanford University; Chan Zuckerberg Biohub; Chan Zuckerberg Biohub; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; Department of Anatomical Pathology, Cleveland Clinic; Institute for Computational Biology, Case Western Reserve University; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Department of Cardiovascular and Metabolic Sciences, Lerner Research Institute Cleveland Clinic; Center for Microbiome and Human Health, Lerner Research Institute, Cleveland Clinic; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford University; ChEM-H Institute, Stanford University; Chan Zuckerberg Biohub",,,1
4,"2022-07-28, 21:24:28","Aaron J. Wilk, Alex K. Shalek, Susan Holmes, Catherine A. Blish",biorxiv,Comparative analysis of cell-cell communication at single-cell resolution,"Inference of cell-cell communication (CCC) from single-cell RNA-sequencing data is a powerful technique to uncover putative axes of multicellular coordination, yet existing methods perform this analysis at the level of the cell type or cluster, discarding single-cell level information. Here we present Scriabin – a flexible and scalable framework for comparative analysis of CCC at single-cell resolution. We leverage multiple published datasets to show that Scriabin recovers expected CCC edges and use spatial transcriptomic data, genetic perturbation screens, and direct experimental manipulation of receptor-ligand interactions to validate that the recovered edges are biologically meaningful. We then apply Scriabin to uncover co-expressed programs of CCC from atlas-scale datasets, validating known communication pathways required for maintaining the intestinal stem cell niche and revealing species-specific communication pathways. Finally, we utilize single-cell communication networks calculated using Scriabin to follow communication pathways that operate between timepoints in longitudinal datasets, highlighting bystander cells as important initiators of inflammatory reactions in acute SARS-CoV-2 infection. Our approach represents a broadly applicable strategy to leverage single-cell resolution data maximally toward uncovering CCC circuitry and rich niche-phenotype relationships in health and disease.",,10.1101/2022.02.04.479209,http://www.biorxiv.org/content/10.1101/2022.02.04.479209v3,2022.02.04.479209,2022-07-25,,"Broad Institute of MIT and Harvard; Chan Zuckerberg Biohub; Department of Chemistry, Massachusetts Institute of Technology; Department of Medicine, Stanford University School of Medicine; Department of Statistics, Stanford University; Institute for Medical Engineering & Science, Massachusetts Institute of Technology; Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology; Medical Scientist Training Program, Stanford University School of Medicine; Ragon Institute of MGH, MIT, and Harvard; Stanford Immunology Program, Stanford University School of Medicine","Stanford Immunology Program, Stanford University School of Medicine; Department of Medicine, Stanford University School of Medicine; Medical Scientist Training Program, Stanford University School of Medicine; Institute for Medical Engineering & Science, Massachusetts Institute of Technology; Department of Chemistry, Massachusetts Institute of Technology; Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology; Ragon Institute of MGH, MIT, and Harvard; Broad Institute of MIT and Harvard; Department of Statistics, Stanford University; Stanford Immunology Program, Stanford University School of Medicine; Department of Medicine, Stanford University School of Medicine; Medical Scientist Training Program, Stanford University School of Medicine; Chan Zuckerberg Biohub",,,1
5,"2022-07-28, 21:24:28","Naomasa Fukase, Victoria Duke, Monica C. Lin, Ingrid K. Stake, Matt Huard, Johnny Huard, Meir T. Marmor, Michel M. Maharbiz, Nicole P. Ehrhart, Chelsea S. Bahney, Safa T. Herfat",biorxiv,Wireless Measurements Using Electrical Impedance Spectroscopy to Monitor Fracture Healing,"There is an unmet need for improved, clinically relevant methods to longitudinally quantify bone healing during fracture care. Here we develop a smart bone plate to wirelessly monitor healing utilizing electrical impedance spectroscopy (EIS) to provide real-time data on tissue com-position within the fracture callus. To validate our technology, we created a 1-mm rabbit tibial defect and fixed the bone with a standard veterinary plate modified with a custom-designed housing that included two impedance sensors capable of wireless transmission. Impedance magnitude and phase measurements were transmitted every 48-hours for up to 10-weeks. Bone healing was assessed by X-ray, μCT, and histomorphometry. Our results indicated the sensors successfully incorporated into the fracture callus and did not impede repair. Electrical impedance, resistance, and reactance increased steadily from weeks 3 to 7—corresponding to the transition from hematoma to cartilage to bone within the fracture gap—then plateaued as the bone began to consolidate. These three electrical readings significantly correlated with traditional measurements of bone healing and successfully distinguished between union and not healed fractures, with the strongest relationship found with impedance magnitude. These results suggest that our EIS smart bone plate can provide continuous and highly sensitive quantitative tissue measurements throughout the course of fracture healing to better guide personalized clinical care.",,10.1101/2022.07.23.501237,http://www.biorxiv.org/content/10.1101/2022.07.23.501237v1,2022.07.23.501237,2022-07-23,,"Chan-Zuckerberg Biohub; Department of Bioengineering, University of California; Department of Clinical Sciences, Flint Animal Cancer Center, College of Veterinary Medicine, Colorado State University; Department of Electrical Engineering and Computer Sciences, University of California; Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; UCSF Orthopaedic Trauma Institute, Zuckerberg San Francisco General Hospital","Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; UCSF Orthopaedic Trauma Institute, Zuckerberg San Francisco General Hospital; Department of Bioengineering, University of California; Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; UCSF Orthopaedic Trauma Institute, Zuckerberg San Francisco General Hospital; Department of Bioengineering, University of California; Department of Electrical Engineering and Computer Sciences, University of California; Chan-Zuckerberg Biohub; Department of Clinical Sciences, Flint Animal Cancer Center, College of Veterinary Medicine, Colorado State University; Linda and Mitch Hart Center for Regenerative & Personalized Medicine at the Steadman Philippon Research Institute; UCSF Orthopaedic Trauma Institute, Zuckerberg San Francisco General Hospital; UCSF Orthopaedic Trauma Institute, Zuckerberg San Francisco General Hospital",,,1
6,"2022-07-28, 21:24:28","Georgi K. Marinov, S. Tansu Bagdatli, Tong Wu, Chuan He, Anshul Kundaje, William J. Greenleaf",biorxiv,The chromatin landscape of the euryarchaeon Haloferax volcanii,"Archaea, together with Bacteria, represent the two main divisions of life on Earth, with many of the defining characteristics of the more complex eukaryotes tracing their origin to evolutionary innovations first made in their archaeal ancestors. One of the most notable such features is nucleosomal chromatin, although archaeal histones and chromatin differ significantly from those of eukaryotes. Despite increased interest in archaeal histones in recent years, the properties of archaeal chromatin have been little studied using genomic tools. Here, we adapt the ATAC-seq assay to archaea and use it to map the accessible landscape of the genome of the euryarchaeote Haloferax volcanii. We integrate the resulting datasets with genome-wide maps of active transcription and single-stranded DNA (ssDNA) and find that while H. volcanii promoters exist in a preferentially accessible state, modulation of transcriptional activity is not associated with changes in promoter accessibility, unlike the typical situation in eukaryotes. Applying orthogonal single-molecule footprinting methods, we quantify the absolute levels of physical protection of H. volcanii, and find that archaeal nucleosomal chromatin is similarly or only slightly more accessible, in aggregate, than that of eukaryotes. We also evaluate the degree of coordination of transcription within archaeal operons and make the unexpected observation that some CRISPR arrays are associated with highly prevalent ssDNA structures. These results provide a foundation for the future functional studies of archaeal chromatin.",,10.1101/2022.07.22.501187,http://www.biorxiv.org/content/10.1101/2022.07.22.501187v1,2022.07.22.501187,2022-07-22,,"Center for Personal Dynamic Regulomes, Stanford University; Chan Zuckerberg Biohub; Department of Applied Physics, Stanford University; Department of Biochemistry and Molecular Biology and Institute for Biophysical Dynamics, The University of Chicago; Department of Chemistry and Institute for Biophysical Dynamics, The University of Chicago; Department of Computer Science, Stanford University; Department of Genetics, Stanford University; Howard Hughes Medical Institute, The University of Chicago","Department of Genetics, Stanford University; Department of Genetics, Stanford University; Department of Chemistry and Institute for Biophysical Dynamics, The University of Chicago; Department of Chemistry and Institute for Biophysical Dynamics, The University of Chicago; Department of Biochemistry and Molecular Biology and Institute for Biophysical Dynamics, The University of Chicago; Howard Hughes Medical Institute, The University of Chicago; Department of Genetics, Stanford University; Department of Computer Science, Stanford University; Department of Genetics, Stanford University; Center for Personal Dynamic Regulomes, Stanford University; Department of Applied Physics, Stanford University; Chan Zuckerberg Biohub",,,1
7,"2022-07-28, 21:24:28","Michael S. Haney, Archana Shankar, Ian Hsu, Masashi Miyauchi, Róbert Pálovics, Hwei Minn Khoo, Kyomi J. Igarashi, Joydeep Bhadury, Christy Munson, Paul K. Mack, Tze-Kai Tan, Tony Wyss-Coray, Hiromitsu Nakauchi, Adam C. Wilkinson",biorxiv,Large-scale in vivo CRISPR screens identify SAGA complex members as a key regulators of HSC lineage commitment and aging,"The biological mechanisms that sustain the vast blood production required for healthy life remain incompletely understood. To address this knowledge gap, we developed an in vivo hematopoietic stem cell (HSC)-based large-scale CRISPR knockout screening platform to enable the genetic interrogation of hematopoiesis and broad aspects of immune cell function in vivo. Targeting ∼7000 genes with this methodology, we discovered SAGA complex members Tada2b and Taf5l as key regulators of HSC lineage commitment. Loss of Tada2b or Taf5l inhibited hematopoiesis in vivo and was associated with upregulation of interferon response gene expression. SAGA complex member expression is significantly reduced in aged HSCs and upregulated with heterochronic parabiosis, suggesting a novel mechanism of age-associated hematopoietic decline and rejuvenation. Our study provides a rich functional genetics resource of hematopoiesis regulators accessible through a public interactive database (www.hematopoiesiscrisprscreens.com), a novel mechanism regulating age-related decline of hematopoiesis, and a new methodology with broad applications to systematically probe the development and functions of the lymphohematopoietic system.",,10.1101/2022.07.22.501030,http://www.biorxiv.org/content/10.1101/2022.07.22.501030v1,2022.07.22.501030,2022-07-22,,"ChEM-H, Stanford University; Department of Genetics, Stanford University School of Medicine; Department of Laboratory Medicine, Institute of Biomedicine, Sahlgrenska Academy, University of Gothenburg; Department of Neurology and Neurological Sciences, Stanford University School of Medicine; Division of Stem Cell Therapy, Distinguished Professor Unit, The Institute of Medical Science, The University of Tokyo; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; MRC Weatherall Institute of Molecular Medicine, University of Oxford; Paul F. Glenn Center for the Biology of Aging, Stanford University School of Medicine; Wu Tsai Neurosciences Institute, Stanford University","Department of Neurology and Neurological Sciences, Stanford University School of Medicine; Wu Tsai Neurosciences Institute, Stanford University; Department of Neurology and Neurological Sciences, Stanford University School of Medicine; Wu Tsai Neurosciences Institute, Stanford University; MRC Weatherall Institute of Molecular Medicine, University of Oxford; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; Department of Genetics, Stanford University School of Medicine; Department of Neurology and Neurological Sciences, Stanford University School of Medicine; Wu Tsai Neurosciences Institute, Stanford University; MRC Weatherall Institute of Molecular Medicine, University of Oxford; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; Department of Genetics, Stanford University School of Medicine; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; Department of Genetics, Stanford University School of Medicine; Department of Laboratory Medicine, Institute of Biomedicine, Sahlgrenska Academy, University of Gothenburg; Department of Neurology and Neurological Sciences, Stanford University School of Medicine; Wu Tsai Neurosciences Institute, Stanford University; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; Department of Genetics, Stanford University School of Medicine; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; Department of Genetics, Stanford University School of Medicine; Department of Neurology and Neurological Sciences, Stanford University School of Medicine; Wu Tsai Neurosciences Institute, Stanford University; ChEM-H, Stanford University; Paul F. Glenn Center for the Biology of Aging, Stanford University School of Medicine; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine; Department of Genetics, Stanford University School of Medicine; Division of Stem Cell Therapy, Distinguished Professor Unit, The Institute of Medical Science, The University of Tokyo; MRC Weatherall Institute of Molecular Medicine, University of Oxford; Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine",,,1
8,"2022-07-28, 21:24:28","Trung H. M. Pham, Yuan Xue, Susan M. Brewer, KE Bernstein, Stephen R. Quake, Denise M. Monack",biorxiv,Single-cell profiling identifies ACE+ granuloma macrophages as a non-permissive niche for intracellular bacteria during persistent Salmonella infection,"Macrophages mediate key antimicrobial responses against intracellular bacterial pathogens, such as Salmonella enterica. Yet, they can also act as a permissive niche for these pathogens to persist in infected tissues within granulomas, which are immunological structures comprised of macrophages and other immune cells. We apply single-cell transcriptomics to investigate macrophage functional diversity during persistent Salmonella enterica serovar Typhimurium (STm) infection in mice. We identify determinants of macrophage heterogeneity in infected spleens and describe populations of distinct phenotypes, functional programming, and spatial localization. Using a STm mutant with impaired ability to polarize macrophage phenotypes, we find that angiotensin converting enzyme (ACE) defines a granuloma macrophage population that is non-permissive for intracellular bacteria and their abundance anticorrelates with tissue bacterial burden. Disruption of pathogen control by neutralizing TNF preferentially depletes ACE+ macrophages in infected tissues. Thus ACE+ macrophages have differential capacity to serve as cellular niche for intracellular bacteria to establish persistent infection.Teaser This study shows that ACE+ granuloma macrophages have restricted capacity to act as a cellular niche that enables intracellular bacterial persistence.",,10.1101/2022.07.21.501041,http://www.biorxiv.org/content/10.1101/2022.07.21.501041v1,2022.07.21.501041,2022-07-22,,"Chan Zuckerberg Biohub; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine; Department of Pathology and Laboratory Medicine, Cedars-Sinai Medical Center; Department of Pediatrics, Stanford University School of Medicine","Department of Microbiology and Immunology, Stanford University School of Medicine; Department of Pediatrics, Stanford University School of Medicine; Department of Bioengineering, Stanford University; Department of Microbiology and Immunology, Stanford University School of Medicine; Department of Pathology and Laboratory Medicine, Cedars-Sinai Medical Center; Department of Bioengineering, Stanford University; Chan Zuckerberg Biohub; Department of Microbiology and Immunology, Stanford University School of Medicine",,,1
9,"2022-07-28, 21:24:28","Alexander Derry, Russ B. Altman",biorxiv,COLLAPSE: A representation learning framework for identification and characterization of protein structural sites,"The identification and characterization of the structural sites which contribute to protein function are crucial for understanding biological mechanisms, evaluating disease risk, and developing targeted therapies. However, the quantity of known protein structures is rapidly outpacing our ability to functionally annotate them. Existing methods for function prediction either do not operate on local sites, suffer from high false positive or false negative rates, or require large site-specific training datasets, necessitating the development of new computational methods for annotating functional sites at scale. We present COLLAPSE (Compressed Latents Learned from Aligned Protein Structural Environments), a framework for learning deep representations of protein sites. COLLAPSE operates directly on the 3D positions of atoms surrounding a site and uses evolutionary relationships between homologous proteins as a self-supervision signal, enabling learned embeddings to implicitly capture structure-function relationships within each site. Our representations generalize across disparate tasks in a transfer learning context, achieving state-of-the-art performance on standardized benchmarks (protein-protein interactions and mutation stability) and on the prediction of functional sites from the PROSITE database. We use COLLAPSE to search for similar sites across large protein datasets and to annotate proteins based on a database of known functional sites. These methods demonstrate that COLLAPSE is computationally efficient, tunable, and interpretable, providing a general-purpose platform for computational protein analysis.",,10.1101/2022.07.20.500713,http://www.biorxiv.org/content/10.1101/2022.07.20.500713v1,2022.07.20.500713,2022-07-22,,"Department of Biomedical Data Science, Stanford University; Departments of Bioengineering, Genetics, and Medicine, Stanford University","Department of Biomedical Data Science, Stanford University; Department of Biomedical Data Science, Stanford University; Departments of Bioengineering, Genetics, and Medicine, Stanford University",,,1
