record id,save datetime,biohub author,corresponding author,corresponding author institution,journal,doi,pmid,title,url,abstract,keyword,pdf url,version,version number,type,date,epost date,publish date,authors,authors2,affiliations list,author - affiliations,version,published or not,published_doi,confirm preprint doi,match result,match id,record change number,Match biohub author
1,2022-08-12,Ke Xu,William  Matthew Skinner,University of California Berkeley,bioRxiv,10.1101/2022.08.04.502752,,Mitochondrial uncouplers impair human sperm motility without altering ATP content,http://www.biorxiv.org/content/10.1101/2022.08.04.502752v2,"Sperm motility is necessary for successful fertilization, but there remains controversy about whether human sperm motility is primarily powered by glycolysis or oxidative phosphorylation. To evaluate the plausibility of reducing human sperm mitochondrial ATP production as an avenue for contraceptive development, we treated human sperm with small-molecule mitochondrial uncouplers, which reduce mitochondrial membrane potential by inducing passive proton flow, and evaluated the effects on a variety of physiological processes that are critical for fertilization. We also sought to clarify the subcellular localization of Adenosine Nucleotide Translocator 4 (ANT4), a gamete-specific protein that has been suggested as a contraceptive target. We determined that ANT4 is mitochondrially localized, that induced mitochondrial uncoupling can be partially mediated by the ANT family, and that two uncouplers, Niclosamide Ethanolamine and BAM15, significantly decreased sperm progressive motility. However, these uncouplers did not reduce sperm ATP content or impair other physiological processes, implying that human sperm can rely on glycolysis for ATP production in the absence of functional mitochondria. Thus, since certain mitochondrial uncouplers impair motility through ATP-independent mechanisms, they could be useful ingredients in on-demand, vaginally-applied contraceptives. However, systemically delivered contraceptives that target sperm mitochondria to reduce their ATP production would need to be paired with sperm-specific glycolysis inhibitors.

Significance StatementDevelopment of novel contraceptives is critical, since half of all pregnancies are still unplanned, even in developed countries. This high unplanned pregnancy rate contributes to a wide variety of social, environmental, and ecological problems. Impairing human sperm is a way to develop male and unisex contraceptives, but much remains unknown about these unique cells. Here we settle a long-running debate about human sperm metabolism, finding that human sperm can maintain their ATP levels without mitochondrial oxidative phosphorylation. This finding will help focus future contraceptive development efforts. We also identify the potential use of an FDA-approved compound (Niclosamide) as a motility-impairing ingredient in spermicides and correct the misunderstood subcellular localization of an existing contraceptive target, Adenosine Nucleotide Translocator 4.",,,biorxiv;2022.08.04.502752,2,new results,01/08/2022,01/08/2022,,"Skinner, W. M.; Petersen, N. T.; Unger, B.; Tang, S.; Tabarsi, E.; Lamm, J.; Jalalian, L.; Smith, J.; Bertholet, A. M.; Xu, K.; Kirichok, Y.; Lishko, P. V.",Will M. Skinner; Natalie T. Petersen; Bret Unger; Shaogeng Tang; Emiliano Tabarsi; Julianna Lamm; Liza Jalalian; James Smith; Ambre M. Bertholet; Ke Xu; Yuriy Kirichok; Polina V. Lishko,"Endocrinology Graduate Group, University of California; Department of Molecular and Cell Biology, University of California; Department of Obstetrics and Gynecology, Stanford University School of Medicine; Department of Chemistry, University of California, Berkeley, Berkeley; Department of Biochemistry, Stanford University School of Medicine; Sarafan ChEM-H, Stanford University; Department of Molecular and Cell Biology, University of California; Keck School of Medicine, University of Southern California; Department of Molecular and Cell Biology, University of California; Dewpoint Therapeutics; Department of Obstetrics and Gynecology, University of California, San Francisco Center for Reproductive Health; Department of Urology, University of California; Department of Physiology, University of California San Francisco; Department of Physiology, David Geffen School of Medicine, University of California Los Angeles; Department of Chemistry, University of California, Berkeley, Berkeley; California Institute for Quantitative Biosciences, University of California; Chan Zuckerberg Biohub, San Francisco; Department of Physiology, University of California San Francisco; Department of Molecular and Cell Biology, University of California; Center for Reproductive Longevity and Equality, Buck Institute for Research on Aging","[['Will M. Skinner', 'Endocrinology Graduate Group, University of California'], ['Natalie T. Petersen', 'Department of Molecular and Cell Biology, University of California', 'Department of Obstetrics and Gynecology, Stanford University School of Medicine'], ['Bret Unger', 'Department of Chemistry, University of California, Berkeley, Berkeley'], ['Shaogeng Tang', 'Department of Biochemistry, Stanford University School of Medicine', 'Sarafan ChEM-H, Stanford University'], ['Emiliano Tabarsi', 'Department of Molecular and Cell Biology, University of California', 'Keck School of Medicine, University of Southern California'], ['Julianna Lamm', 'Department of Molecular and Cell Biology, University of California', 'Dewpoint Therapeutics'], ['Liza Jalalian', 'Department of Obstetrics and Gynecology, University of California, San Francisco Center for Reproductive Health'], ['James Smith', 'Department of Urology, University of California'], ['Ambre M. Bertholet', 'Department of Physiology, University of California San Francisco', 'Department of Physiology, David Geffen School of Medicine, University of California Los Angeles'], ['Ke Xu', 'Department of Chemistry, University of California, Berkeley, Berkeley', 'California Institute for Quantitative Biosciences, University of California', 'Chan Zuckerberg Biohub, San Francisco'], ['Yuriy Kirichok', 'Department of Physiology, University of California San Francisco'], ['Polina V. Lishko', 'Department of Molecular and Cell Biology, University of California', 'Center for Reproductive Longevity and Equality, Buck Institute for Research on Aging']]",biorxiv;2022.08.04.502752,NA,No yet.,,,,0,
2,2022-08-12,James A. Wells,Kliment A Verba,"University of California, San Francisco",bioRxiv,10.1101/2022.08.09.503400,,Computational pipeline provides mechanistic understanding of Omicron variant of concern neutralizing engineered ACE2 receptor traps,http://www.biorxiv.org/content/10.1101/2022.08.09.503400v1,"The SARS-CoV-2 Omicron variant, with 15 mutations in Spike receptor binding domain (Spike-RBD), renders virtually all clinical monoclonal antibodies against WT SARS-CoV-2 ineffective. We recently engineered the SARS-CoV-2 host entry receptor, ACE2, to tightly bind WT-Spike-RBD and prevent viral entry into host cells (""receptor traps""). Here we determine cryo-EM structures of our receptor traps in complex with full length Spike. We develop a multi-model pipeline combining Rosetta protein modeling software and cryo-EM to allow interface energy calculations even at limited resolution and identify interface side chains that allow for high affinity interactions between our ACE2 receptor traps and Spike-RBD. Our structural analysis provides a mechanistic rationale for the high affinity (0.53 - 4.2nM) binding of our ACE2 receptor traps to Omicron-RBD confirmed with biolayer interferometry measurements. Finally, we show that ACE2 receptor traps potently neutralize Omicron- and Delta-pseudotyped viruses, providing alternative therapeutic routes to combat this evolving virus.",,,biorxiv;2022.08.09.503400,1,new results,01/10/2022,01/10/2022,,"Remesh, S. G.; Merz, G. E.; Britol, A. F.; Chio, U. S.; Rizo, A. N.; Pospiech, T. H.; Lui, I.; Laurie, M. T.; Glasgow, J.; Le, C. Q.; Zhang, Y.; Diwanji, D.; Hernandez, E.; Lopez, J.; Pawar, K. I.; Pourmal, S.; Smith, A. M.; Zhou, F.; QBI Coronavirus Research Group Structural Biology Consortium,  ; DeRisi, J.; Kortemme, T.; Rosenberg, O. S.; Glasgow, A.; Leung, K. K.; Wells, J. A.; Verba, K. A.",Soumya G. Remesh; Gregory E. Merz; Axel F. Brilot; Un Seng Chio; Alexandrea N. Rizo; Thomas H. Pospiech; Irene Lui; Mathew T. Laurie; Jeff Glasgow; Chau Q. Le; Yun Zhang; Devan Diwanji; Evelyn Hernandez; Jocelyne Lopez; Komal Ishwar Pawar; Sergei Pourmal; Amber M. Smith; Fengbo Zhou; QCRG Structural Biology Consortium; Joseph DeRisi; Tanja Kortemme; Oren S. Rosenberg; Anum Glasgow; Kevin K. Leung; James A. Wells; Kliment A. Verba,"Department of Pharmaceutical Chemistry, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; Department of Pharmaceutical Chemistry, University of California; Department of Biochemistry and Biophysics, University of California San Francisco; Department of Pharmaceutical Chemistry, University of California; Department of Pharmaceutical Chemistry, University of California; Department of Pharmaceutical Chemistry, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; Department of Biochemistry and Biophysics, University of California San Francisco; Chan Zuckerberg Biohub; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI, University of California; Department of Bioengineering and Therapeutic Sciences, University of California; The University of California, Berkeley–University of California, San Francisco Graduate Program in Bioengineering, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; Department of Biochemistry and Molecular Biophysics, Columbia University; Department of Pharmaceutical Chemistry, University of California; Department of Pharmaceutical Chemistry, University of California; Chan Zuckerberg Biohub; Department of Cellular & Molecular Pharmacology, University of California San Francisco; Department of Pharmaceutical Chemistry, University of California; QBI Coronavirus Research Group Structural Biology Consortium, University of California; QBI, University of California","[['Soumya G. Remesh', 'Department of Pharmaceutical Chemistry, University of California', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Gregory E. Merz', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Axel F. Brilot', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Un Seng Chio', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Alexandrea N. Rizo', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Thomas H. Pospiech', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Irene Lui', 'Department of Pharmaceutical Chemistry, University of California'], ['Mathew T. Laurie', 'Department of Biochemistry and Biophysics, University of California San Francisco'], ['Jeff Glasgow', 'Department of Pharmaceutical Chemistry, University of California'], ['Chau Q. Le', 'Department of Pharmaceutical Chemistry, University of California'], ['Yun Zhang', 'Department of Pharmaceutical Chemistry, University of California'], ['Devan Diwanji', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Evelyn Hernandez', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Jocelyne Lopez', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Komal Ishwar Pawar', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Sergei Pourmal', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Amber M. Smith', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Fengbo Zhou', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['QCRG Structural Biology Consortium'], ['Joseph DeRisi', 'Department of Biochemistry and Biophysics, University of California San Francisco', 'Chan Zuckerberg Biohub'], ['Tanja Kortemme', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California', 'QBI, University of California', 'Department of Bioengineering and Therapeutic Sciences, University of California', 'The University of California, Berkeley–University of California, San Francisco Graduate Program in Bioengineering, University of California'], ['Oren S. Rosenberg', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California'], ['Anum Glasgow', 'Department of Biochemistry and Molecular Biophysics, Columbia University'], ['Kevin K. Leung', 'Department of Pharmaceutical Chemistry, University of California'], ['James A. Wells', 'Department of Pharmaceutical Chemistry, University of California', 'Chan Zuckerberg Biohub', 'Department of Cellular & Molecular Pharmacology, University of California San Francisco'], ['Kliment A. Verba', 'Department of Pharmaceutical Chemistry, University of California', 'QBI Coronavirus Research Group Structural Biology Consortium, University of California', 'QBI, University of California']]",biorxiv;2022.08.09.503400,NA,No yet.,,,,0,
3,2022-08-12,Katherine S. Pollard,Katherine S Pollard,"University of California, San Francisco / Gladstone Institutes",bioRxiv,10.1101/2022.08.02.502504,,A novel in silico method employs chemical and protein similarity algorithms to accurately identify chemical transformations in the human gut microbiome,http://www.biorxiv.org/content/10.1101/2022.08.02.502504v2,"Bacteria within the gut microbiota possess the ability to metabolize a wide array of human drugs, foods, and toxins, but the responsible enzymes for these chemical events remain largely uncharacterized due to the time consuming nature of current experimental approaches. Attempts have been made in the past to computationally predict which bacterial species and enzymes are responsible for chemical transformations in the gut environment, but with low accuracy due to minimal chemical representation and sequence similarity search schemes. Here, we present an in silico approach that employs chemical and protein Similarity algorithms that Identify MicrobioMe Enzymatic Reactions (SIMMER). We show that SIMMER predicts the chemistry and responsible species and enzymes for a queried reaction with high accuracy, unlike previous methods. We demonstrate SIMMER use cases in the context of drug metabolism by predicting previously uncharacterized enzymes for 88 drug transformations known to occur in the human gut. Bacterial species containing these enzymes are enriched within human donor stool samples that metabolize the query compound. After demonstrating its utility and accuracy, we chose to make SIMMER available as both a command-line and web tool, with flexible input and output options for determining chemical transformations within the human gut. We present SIMMER as a computational addition to the microbiome researchers toolbox, enabling them to make informed hypotheses before embarking on the lengthy laboratory experiments required to characterize novel bacterial enzymes that can alter human ingested compounds.",,,biorxiv;2022.08.02.502504,2,new results,01/11/2022,01/11/2022,,"Bustion, A. E.; Agrawal, A.; Turnbaugh, P. J.; Pollard, K. S.",Annamarie Bustion; Ayushi Agrawal; Peter J. Turnbaugh; Katherine S. Pollard,"Pharmaceutical Sciences and Pharmacogenomics Graduate Program, University of California; Institute of Data Science and Biotechnology, Gladstone Institutes, San Francisco; Institute of Data Science and Biotechnology, Gladstone Institutes, San Francisco; Department of Microbiology & Immunology, University of California San Francisco; Chan Zuckerberg Biohub; Institute of Data Science and Biotechnology, Gladstone Institutes, San Francisco; Chan Zuckerberg Biohub; Department of Epidemiology & Biostatistics, University of California, San Francisco; Institute for Human Genetics, University of California; Bakar Computational Health Sciences Institute, University of California","[['Annamarie Bustion', 'Pharmaceutical Sciences and Pharmacogenomics Graduate Program, University of California', 'Institute of Data Science and Biotechnology, Gladstone Institutes, San Francisco'], ['Ayushi Agrawal', 'Institute of Data Science and Biotechnology, Gladstone Institutes, San Francisco'], ['Peter J. Turnbaugh', 'Department of Microbiology & Immunology, University of California San Francisco', 'Chan Zuckerberg Biohub'], ['Katherine S. Pollard', 'Institute of Data Science and Biotechnology, Gladstone Institutes, San Francisco', 'Chan Zuckerberg Biohub', 'Department of Epidemiology & Biostatistics, University of California, San Francisco', 'Institute for Human Genetics, University of California', 'Bakar Computational Health Sciences Institute, University of California']]",biorxiv;2022.08.02.502504,NA,No yet.,,,,0,
4,2022-08-12,Carlos D. Bustamante,Gilberto Gonzalez-Arroyo,Amphora Health,medRxiv,10.1101/2021.12.16.21267866,,Challenges and uncertainty in treatments for COVID-19 patients during the early stage of the pandemic in Mexico.,http://medrxiv.org/content/early/2022/08/11/2021.12.16.21267866,"ObjectiveTo analyze the treatment outcomes for COVID-19 during the early stages of the pandemic at the Mexican Institute of Social Security.

Material and MethodsIn this retrospective observational study, we investigated 130,216 patients with COVID-19 treated in two Mexican states during 2020. A competing risk analysis was performed using death and recovery as possible outcomes, followed by a cox-regression and Kaplan-Meier analysis. Additionally, machine learning models were built to predict the outcomes at fixed times.

ResultsHigher prevalence of obesity, diabetes, and heart disease comorbidities were found, which is consistent with Mexicos epidemiological profile. Mortality occurred around 15-20 days from the start of symptoms. Patients undertaking cephalosporin in combination with neuraminidase inhibitors (NAIs) had the worst survival rates, while patients undertaking adamantane, fluoroquinolone, or penicillin had the best survival rates.

ConclusionsOur findings recommend against using specific treatment combinations, and should help improve the countrys clinical guidelines.",,,medrxiv;2021.12.16.21267866,2,PUBLISHAHEADOFPRINT,01/11/2022,01/11/2022,,"Gonzalez-Arroyo, G.; Gomez Garcia, S.; Gomez Garcia, A.; Pacifuentes Orozco, A.; Rodriguez-Moran, F. M.; Garcia Arreola, M.; Lopez Lopez, K. G.; Ortiz Castillo, T.; Or-Geva, N.; Moreno-Grau, S.; Alvarez Aguilar, C.; Bustamante, C. D.; Lopez Pineda, A.",Gilberto González-Arroyo; Salvador Gómez-García; Anel Gómez-García; Mario F. Rodriguez-Moran; Maricela García-Arreola; Karla Guadalupe López-López; Tonatihu Ortiz-Castillo; Noga Or-Geva; Sonia Moreno-Grau; Carlos D. Bustamante; Cleto Álvarez-Aguilar; Arturo López-Pineda,"Amphora Health; Galatea Bio Inc.; Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS); Biomedical Research Center of Michoacan, Mexican Institute for Social Security (IMSS); Amphora Health; Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS); Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS); Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS); Department of Neurology, Stanford University; Galatea Bio Inc.; Department of Biomedical Data Science, Stanford University; Galatea Bio Inc.; Department of Biomedical Data Science, Stanford University; Chan Zuckerberg Biohub; Amphora Health; Faculty of Medicine. Michoacan University of Saint Nicholas of Hidalgo (UMSNH); Amphora Health; Galatea Bio Inc.","[['Gilberto González-Arroyo', 'Amphora Health', 'Galatea Bio Inc.'], ['Salvador Gómez-García', 'Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS)'], ['Anel Gómez-García', 'Biomedical Research Center of Michoacan, Mexican Institute for Social Security (IMSS)'], ['Mario F. Rodriguez-Moran', 'Amphora Health'], ['Maricela García-Arreola', 'Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS)'], ['Karla Guadalupe López-López', 'Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS)'], ['Tonatihu Ortiz-Castillo', 'Decentralized Administrative Operation Body, Mexican Institute for Social Security (IMSS)'], ['Noga Or-Geva', 'Department of Neurology, Stanford University'], ['Sonia Moreno-Grau', 'Galatea Bio Inc.', 'Department of Biomedical Data Science, Stanford University'], ['Carlos D. Bustamante', 'Galatea Bio Inc.', 'Department of Biomedical Data Science, Stanford University', 'Chan Zuckerberg Biohub'], ['Cleto Álvarez-Aguilar', 'Amphora Health', 'Faculty of Medicine. Michoacan University of Saint Nicholas of Hidalgo (UMSNH)'], ['Arturo López-Pineda', 'Amphora Health', 'Galatea Bio Inc.']]",medrxiv;2021.12.16.21267866,NA,No yet.,,,,0,
5,2022-08-12,Katherine S. Pollard,Katherine S Pollard,Gladstone Institutes,bioRxiv,10.1101/2022.08.11.503410,,In silico discovery of repetitive elements as key sequence determinants of 3D genome folding,http://www.biorxiv.org/content/10.1101/2022.08.11.503410v1,"Natural and experimental genetic variants can modify DNA loops and insulating boundaries to tune transcription, but it is unknown how sequence perturbations affect chromatin organization genome-wide. We developed an in silico deep-learning strategy to quantify the effect of any insertion, deletion, inversion, or substitution on chromatin contacts and systematically scored millions of synthetic variants. While most genetic manipulations have little impact, regions with CTCF motifs and active transcription are highly sensitive, as expected. However, our analysis also points to noncoding RNA genes and several families of repetitive elements as CTCF motif-free DNA sequences with particularly large effects on nearby chromatin interactions, sometimes exceeding the effects of CTCF sites and explaining interactions that lack CTCF. We anticipate that our available disruption tracks may be of broad interest and utility as a measure of 3D genome sensitivity and our computational strategies may serve as a template for biological inquiry with deep learning.",,,biorxiv;2022.08.11.503410,1,new results,01/12/2022,01/12/2022,,"Gunsalus, L. M.; Keiser, M. J.; Pollard, K. S.",Laura M. Gunsalus; Michael J. Keiser; Katherine S. Pollard,"Gladstone Institutes; Institute for Neurodegenerative Diseases, University of California; Institute for Neurodegenerative Diseases, University of California; Bakar Computational Health Sciences Institute, University of California; Department of Bioengineering and Therapeutic Sciences, University of California; Kavli Institute for Fundamental Neuroscience, University of California; Department of Pharmaceutical Chemistry, University of California, San Francisco; Gladstone Institutes; Chan Zuckerberg Biohub; Department of Epidemiology & Biostatistics, University of California","[['Laura M. Gunsalus', 'Gladstone Institutes', 'Institute for Neurodegenerative Diseases, University of California'], ['Michael J. Keiser', 'Institute for Neurodegenerative Diseases, University of California', 'Bakar Computational Health Sciences Institute, University of California', 'Department of Bioengineering and Therapeutic Sciences, University of California', 'Kavli Institute for Fundamental Neuroscience, University of California', 'Department of Pharmaceutical Chemistry, University of California, San Francisco'], ['Katherine S. Pollard', 'Gladstone Institutes', 'Chan Zuckerberg Biohub', 'Department of Epidemiology & Biostatistics, University of California']]",biorxiv;2022.08.11.503410,NA,No yet.,,,,0,
6,2022-08-12,,,,arxiv,10.48550/arXiv.2208.11223,,"POPDx: An Automated Framework for Patient Phenotyping across 392,246 Individuals in the UK Biobank Study",https://arxiv.org/abs/2208.11223,"Objective For the UK Biobank standardized phenotype codes are associated withpatients who have been hospitalized but are missing for many patients who havebeen treated exclusively in an outpatient setting. We describe a method forphenotype recognition that imputes phenotype codes for all UK Biobankparticipants. Materials and Methods POPDx (Population-based ObjectivePhenotyping by Deep Extrapolation) is a bilinear machine learning framework forsimultaneously estimating the probabilities of 1,538 phenotype codes. Weextracted phenotypic and health-related information of 392,246 individuals fromthe UK Biobank for POPDx development and evaluation. A total of 12,803 ICD-10diagnosis codes of the patients were converted to 1,538 Phecodes as goldstandard labels. The POPDx framework was evaluated and compared to otheravailable methods on automated multi-phenotype recognition. Results POPDx canpredict phenotypes that are rare or even unobserved in training. We demonstratesubstantial improvement of automated multi-phenotype recognition across 22disease categories, and its application in identifying key epidemiologicalfeatures associated with each phenotype. Conclusions POPDx helps providewell-defined cohorts for downstream studies. It is a general purpose methodthat can be applied to other biobanks with diverse but incomplete data.",,https://arxiv.org/pdf/2208.11223,arXiv:2208.11223v1,,,08/23/2022,08/23/2022,,,"Lu Yang, Sheng Wang, Russ B. Altman",,,arXiv:2208.11223v1,,,,,,0,
7,2022-08-12,,,,arxiv,10.48550/arXiv.2208.10661,,Therapeutic algebra of immunomodulatory drug responses at single-cell resolution,https://arxiv.org/abs/2208.10661,"Therapeutic modulation of immune states is central to the treatment of humandisease. However, how drugs and drug combinations impact the diverse cell typesin the human immune system remains poorly understood at the transcriptomescale. Here, we apply single-cell mRNA-seq to profile the response of humanimmune cells to 502 immunomodulatory drugs alone and in combination. We developa unified mathematical model that quantitatively describes the transcriptomescale response of myeloid and lymphoid cell types to individual drugs and drugcombinations through a single inferred regulatory network. The mathematicalmodel reveals how drug combinations generate novel, macrophage and T-cellstates by recruiting combinations of gene expression programs through bothadditive and non-additive drug interactions. A simplified drug response algebraallows us to predict the continuous modulation of immune cell populationsbetween activated, resting and hyper-inhibited states through combinatorialdrug dose titrations. Our results suggest that transcriptome-scale mathematicalmodels could enable the design of therapeutic strategies for programming thehuman immune system using combinations of therapeutics.",,https://arxiv.org/pdf/2208.10661,arXiv:2208.10661v1,,,08/23/2022,08/23/2022,,,"Jialong Jiang, Sisi Chen, Tiffany Tsou, Christopher S. McGinnis, Tahmineh Khazaei, Qin Zhu, Jong H. Park, Paul Rivaud, Inna-Marie Strazhnik, Eric D. Chow, David A. Sivak, Zev J. Gartner, Matt Thomson",,,arXiv:2208.10661v1,,,,,,0,
8,2022-08-12,,,,arxiv,10.48550/arXiv.2209.09105,,Development and Clinical Evaluation of an AI Support Tool for Improving Telemedicine Photo Quality,https://arxiv.org/abs/2209.09105,"Telemedicine utilization was accelerated during the COVID-19 pandemic, andskin conditions were a common use case. However, the quality of photographssent by patients remains a major limitation. To address this issue, wedeveloped TrueImage 2.0, an artificial intelligence (AI) model for assessingpatient photo quality for telemedicine and providing real-time feedback topatients for photo quality improvement. TrueImage 2.0 was trained on 1700telemedicine images annotated by clinicians for photo quality. On aretrospective dataset of 357 telemedicine images, TrueImage 2.0 effectivelyidentified poor quality images (Receiver operator curve area under the curve(ROC-AUC) =0.78) and the reason for poor quality (Blurry ROC-AUC=0.84, Lightingissues ROC-AUC=0.70). The performance is consistent across age, gender, andskin tone. Next, we assessed whether patient-TrueImage 2.0 interaction led toan improvement in submitted photo quality through a prospective clinical pilotstudy with 98 patients. TrueImage 2.0 reduced the number of patients with apoor-quality image by 68.0%.",,https://arxiv.org/pdf/2209.09105,arXiv:2209.09105v1,,,09/12/2022,09/12/2022,,,"Kailas Vodrahalli, Justin Ko, Albert S. Chiou, Roberto Novoa, Abubakar Abid, Michelle Phung, Kiana Yekrang, Paige Petrone, James Zou, Roxana Daneshjou",,,arXiv:2209.09105v1,,,,,,0,
9,2022-08-12,,,,arxiv,10.48550/arXiv.2209.15458,,Towards General-Purpose Representation Learning of Polygonal Geometries,https://arxiv.org/abs/2209.15458,"Neural network representation learning for spatial data is a common need forgeographic artificial intelligence (GeoAI) problems. In recent years, manyadvancements have been made in representation learning for points, polylines,and networks, whereas little progress has been made for polygons, especiallycomplex polygonal geometries. In this work, we focus on developing ageneral-purpose polygon encoding model, which can encode a polygonal geometry(with or without holes, single or multipolygons) into an embedding space. Theresult embeddings can be leveraged directly (or finetuned) for downstream taskssuch as shape classification, spatial relation prediction, and so on. Toachieve model generalizability guarantees, we identify a few desirableproperties: loop origin invariance, trivial vertex invariance, part permutationinvariance, and topology awareness. We explore two different designs for theencoder: one derives all representations in the spatial domain; the otherleverages spectral domain representations. For the spatial domain approach, wepropose ResNet1D, a 1D CNN-based polygon encoder, which uses circular paddingto achieve loop origin invariance on simple polygons. For the spectral domainapproach, we develop NUFTspec based on Non-Uniform Fourier Transformation(NUFT), which naturally satisfies all the desired properties. We conductexperiments on two tasks: 1) shape classification based on MNIST; 2) spatialrelation prediction based on two new datasets - DBSR-46K and DBSR-cplx46K. Ourresults show that NUFTspec and ResNet1D outperform multiple existing baselineswith significant margins. While ResNet1D suffers from model performancedegradation after shape-invariance geometry modifications, NUFTspec is veryrobust to these modifications due to the nature of the NUFT.",,https://arxiv.org/pdf/2209.15458,arXiv:2209.15458v1,,,09/29/2022,09/29/2022,,,"Gengchen Mai, Chiyu Jiang, Weiwei Sun, Rui Zhu, Yao Xuan, Ling Cai, Krzysztof Janowicz, Stefano Ermon, Ni Lao",,,arXiv:2209.15458v1,,,,,,0,
10,2022-08-12,,,,arxiv,10.48550/arXiv.2210.01383,,Generalizing Bayesian Optimization with Decision-theoretic Entropies,https://arxiv.org/abs/2210.01383,"Bayesian optimization (BO) is a popular method for efficiently inferringoptima of an expensive black-box function via a sequence of queries. Existinginformation-theoretic BO procedures aim to make queries that most reduce theuncertainty about optima, where the uncertainty is captured by Shannon entropy.However, an optimal measure of uncertainty would, ideally, factor in how weintend to use the inferred quantity in some downstream procedure. In thispaper, we instead consider a generalization of Shannon entropy from work instatistical decision theory (DeGroot 1962, Rao 1984), which contains a broadclass of uncertainty measures parameterized by a problem-specific loss functioncorresponding to a downstream task. We first show that special cases of thisentropy lead to popular acquisition functions used in BO procedures such asknowledge gradient, expected improvement, and entropy search. We then show howalternative choices for the loss yield a flexible family of acquisitionfunctions that can be customized for use in novel optimization settings.Additionally, we develop gradient-based methods to efficiently optimize ourproposed family of acquisition functions, and demonstrate strong empiricalperformance on a diverse set of sequential decision making tasks, includingvariants of top-$k$ optimization, multi-level set estimation, and sequencesearch.",,https://arxiv.org/pdf/2210.01383,arXiv:2210.01383v1,,,10/04/2022,10/04/2022,,,"Willie Neiswanger, Lantao Yu, Shengjia Zhao, Chenlin Meng, Stefano Ermon",,,arXiv:2210.01383v1,,,,,,0,
