record id,save datetime,biohub author,possible biohub author,corresponding author,corresponding author institution,journal,doi,pmid,title,url,abstract,keyword,pdf url,version,version number,type,date,epost date,publish date,authors,authors2,affiliations list,author - affiliations,published or not,confirm published doi,confirm preprint doi,possible match result,match id,record change number,Possible biohub author
1,2022-08-19,,,James E. Ferrell,"Department of Chemical and Systems Biology, Stanford University School of Medicine, Stanford, CA, USA; Department of Biochemistry, Stanford University School of",bioRxiv,10.1101/2021.12.13.472243,,An organism-wide atlas of hormonal signaling based on the mouse lemur single-cell transcriptome,http://www.biorxiv.org/content/10.1101/2021.12.13.472243v2,"Hormones coordinate long-range cell-cell communication in multicellular organisms and play vital roles in normal physiology, metabolism, and health. Using the newly-completed organism-wide single cell transcriptional atlas of a non-human primate, the mouse lemur (Microcebus murinus), we have systematically identified hormone-producing and -target cells for 87 classes of hormones, and have created a browsable atlas for hormone signaling that reveals previously unreported sites of hormone regulation and species-specific rewiring. Hormone ligands and receptors exhibited cell-type-dependent, stereotypical expression patterns, and their transcriptional profiles faithfully classified the discrete cell types defined by the full transcriptome, despite their comprising less than 1% of the transcriptome. Although individual cell types generally exhibited the same characteristic patterns of hormonal gene expression, a number of examples of similar or seemingly-identical cell types (e.g., endothelial cells of the lung versus of other organs) displayed different hormonal gene expression patterns. By linking ligand-expressing cells to the cells expressing the corresponding receptor, we constructed an organism-wide map of the hormonal cell-cell communication network. The hormonal cell-cell network was remarkably densely and robustly connected, and included classical hierarchical circuits (e.g. pituitary [-&gt;] peripheral endocrine gland [-&gt;] diverse cell types) as well as examples of highly distributed control. The network also included both well-known examples of feedback loops and a long list of potential novel feedback circuits. This primate hormone atlas provides a powerful resource to facilitate discovery of regulation on an organism-wide scale and at single-cell resolution, complementing the single-site-focused strategy of classical endocrine studies. The network nature of hormone regulation and the principles discovered here further emphasize the importance of a systems approach to understanding hormone regulation.",,,biorxiv;2021.12.13.472243,2,new results,01/14/2022,01/14/2022,,"Liu, S.; Ezran, C.; Wang, M. F. Z.; Li, Z.; The Tabula Microcebus Consortium,  ; Long, J. Z.; De Vlaminck, I.; Wang, S.; Kuo, C.; Epelbaum, J.; Terrien, J.; Krasnow, M. A.; Ferrell, J. E.",Shixuan Liu; Camille Ezran; Michael F. Z. Wang; Zhengda Li; Tabula Microcebus Consortium; Jonathon Z. Long; Iwijn De Vlaminck; Sheng Wang; Christin Kuo; Jacques Epelbaum; Jeremy Terrien; Mark A. Krasnow; James E. Ferrell,"Department of Chemical and Systems Biology, Stanford University School of Medicine; Department of Biochemistry, Stanford University School of Medicine; Howard Hughes Medical Institute, Stanford University School of Medicine; Department of Biochemistry, Stanford University School of Medicine; Howard Hughes Medical Institute, Stanford University School of Medicine; Meinig School of Biomedical Engineering, Cornell University; Department of Chemical and Systems Biology, Stanford University School of Medicine; Department of Pathology, Stanford University School of Medicine; Stanford ChEM-H, Stanford University; Meinig School of Biomedical Engineering, Cornell University; Paul G. Allen School of Computer Science & Engineering, University of Washington; Department of Pediatrics, Stanford University School of Medicine; Unité Mécanismes Adaptatifs et Evolution (MECADEV),; Unité Mixte de Recherche en Santé 894 INSERM, Centre de Psychiatrie et Neurosciences, Université Paris Descartes; Unité Mécanismes Adaptatifs et Evolution (MECADEV),; Department of Biochemistry, Stanford University School of Medicine; Howard Hughes Medical Institute, Stanford University School of Medicine; Department of Chemical and Systems Biology, Stanford University School of Medicine; Department of Biochemistry, Stanford University School of Medicine","[['Shixuan Liu', 'Department of Chemical and Systems Biology, Stanford University School of Medicine', 'Department of Biochemistry, Stanford University School of Medicine', 'Howard Hughes Medical Institute, Stanford University School of Medicine'], ['Camille Ezran', 'Department of Biochemistry, Stanford University School of Medicine', 'Howard Hughes Medical Institute, Stanford University School of Medicine'], ['Michael F. Z. Wang', 'Meinig School of Biomedical Engineering, Cornell University'], ['Zhengda Li', 'Department of Chemical and Systems Biology, Stanford University School of Medicine'], ['Tabula Microcebus Consortium'], ['Jonathon Z. Long', 'Department of Pathology, Stanford University School of Medicine', 'Stanford ChEM-H, Stanford University'], ['Iwijn De Vlaminck', 'Meinig School of Biomedical Engineering, Cornell University'], ['Sheng Wang', 'Paul G. Allen School of Computer Science & Engineering, University of Washington'], ['Christin Kuo', 'Department of Pediatrics, Stanford University School of Medicine'], ['Jacques Epelbaum', 'Unité Mécanismes Adaptatifs et Evolution (MECADEV),', 'Unité Mixte de Recherche en Santé 894 INSERM, Centre de Psychiatrie et Neurosciences, Université Paris Descartes'], ['Jeremy Terrien', 'Unité Mécanismes Adaptatifs et Evolution (MECADEV),'], ['Mark A. Krasnow', 'Department of Biochemistry, Stanford University School of Medicine', 'Howard Hughes Medical Institute, Stanford University School of Medicine'], ['James E. Ferrell', 'Department of Chemical and Systems Biology, Stanford University School of Medicine', 'Department of Biochemistry, Stanford University School of Medicine']]",NA,,,,,0,
2,2022-08-19,Aaron Streets,,Nir Yosef,"University of California, Berkeley",bioRxiv,10.1101/2022.08.12.503709,,Deep generative modeling of transcriptional dynamics for RNA velocity analysis in single cells,http://www.biorxiv.org/content/10.1101/2022.08.12.503709v1,"RNA velocity has been rapidly adopted to guide the interpretation of transcriptional dynamics in snapshot single-cell transcriptomics data. Current approaches for estimating and analyzing RNA velocity can empirically reveal complex dynamics but lack effective strategies for quantifying the uncertainty of the estimate and its overall applicability to the system of interest. Here, we present veloVI (velocity variational inference), a deep generative modeling framework for estimating RNA velocity. veloVI learns a gene-specific dynamical model of RNA metabolism and provides a transcriptome-wide quantification of velocity uncertainty. We show in a series of examples that veloVI compares favorably to previous approaches for inferring RNA velocity with improvements in fit to the data, consistency across transcriptionally similar cells, and stability across preprocessing pipelines for quantifying RNA abundance. Further, we demonstrate that properties unique to veloVI, such as posterior velocity uncertainty, can be used to assess the appropriateness of analysis with velocity to the data at hand. Finally, we highlight veloVI as a flexible framework for modeling transcriptional dynamics by adapting the underlying dynamical model to use time-dependent transcription rates.",,,biorxiv;2022.08.12.503709,1,new results,01/15/2022,01/15/2022,,"Gayoso, A.; Weiler, P.; Lotfollahi, M.; Klein, D.; Hong, J.; Streets, A. M.; Theis, F. J.; Yosef, N.",Adam Gayoso; Philipp Weiler; Mohammad Lotfollahi; Dominik Klein; Justin Hong; Aaron Streets; Fabian J. Theis; Nir Yosef,"Center for Computational Biology, University of California; Institute of Computational Biology, Helmholtz Center Munich; Department of Mathematics, Technical University of Munich; Institute of Computational Biology, Helmholtz Center Munich; Institute of Computational Biology, Helmholtz Center Munich; Center for Computational Biology, University of California; Center for Computational Biology, University of California; Department of Bioengineering, University of California; Chan Zuckerberg Biohub; Institute of Computational Biology, Helmholtz Center Munich; Department of Mathematics, Technical University of Munich; TUM School of Life Sciences Weihenstephan, Technical University of Munich; Center for Computational Biology, University of California; Department of Electrical Engineering and Computer Sciences, University of California","[['Adam Gayoso', 'Center for Computational Biology, University of California'], ['Philipp Weiler', 'Institute of Computational Biology, Helmholtz Center Munich', 'Department of Mathematics, Technical University of Munich'], ['Mohammad Lotfollahi', 'Institute of Computational Biology, Helmholtz Center Munich'], ['Dominik Klein', 'Institute of Computational Biology, Helmholtz Center Munich'], ['Justin Hong', 'Center for Computational Biology, University of California'], ['Aaron Streets', 'Center for Computational Biology, University of California', 'Department of Bioengineering, University of California', 'Chan Zuckerberg Biohub'], ['Fabian J. Theis', 'Institute of Computational Biology, Helmholtz Center Munich', 'Department of Mathematics, Technical University of Munich', 'TUM School of Life Sciences Weihenstephan, Technical University of Munich'], ['Nir Yosef', 'Center for Computational Biology, University of California', 'Department of Electrical Engineering and Computer Sciences, University of California']]",NA,,,,,0,
3,2022-08-19,Polly M. Fordyce,,Bo Wang,Stanford University,bioRxiv,10.1101/2022.08.16.504154,,Alleviating cell lysate-induced inhibition to enable RT-PCR from single cells in picoliter-volume double emulsion droplets,http://www.biorxiv.org/content/10.1101/2022.08.16.504154v1,"Microfluidic droplet assays enable single-cell PCR and sequencing assays at unprecedented scale, with most methods encapsulating cells within nanoliter sized single emulsion droplets (water-in-oil). Encapsulating cells within picoliter double emulsion (DE) (water-in-oil-in-water) droplets allows sorting on commercially available FACS machines, making it possible to isolate single cells based on phenotypes of interest for downstream sequencing and PCR analyses. However, DE droplets must be within the range of large cells (<20 pl) for sorting on standard cytometers, posing challenges for molecular biology as prior reports suggest that reverse transcription (RT) and PCR amplification cannot proceed efficiently at volumes below 1 nL due to cell lysate-induced inhibition. To overcome this limitation, we used a plate-based RT-PCR assay designed to mimic reactions in picoliter droplets to systematically quantify and ameliorate the inhibition. We find that RT-PCR is blocked by lysate-induced cleavage of nucleic acid probes and primers, but that this cleavage can be efficiently alleviated through heat lysis that simultaneously inactivates inhibitory lysate components. We further show that the magnitude of RT-PCR inhibition depends strongly on cell type, but that RT-PCR can proceed in low-picoscale reaction volumes for most cell lines tested. Finally, we demonstrate one-step RT-PCR from single cells in 20 pL double emulsion droplets with fluorescence detectable via FACS. These results open up exciting new avenues for improving picoscale droplet RT-PCR reactions and expanding microfluidic droplet based single-cell analysis technologies.",,,biorxiv;2022.08.16.504154,1,new results,01/17/2022,01/17/2022,,"Khariton, M.; McClune, C.; Brower, K. K.; Klemm, S.; Sattely, E.; Fordyce, P. M.; Wang, B.",Margarita Khariton; Conor J. McClune; Kara K. Brower; Sandy Klemm; Elizabeth S. Sattely; Polly M. Fordyce; Bo Wang,"Department of Bioengineering, Stanford University; Department of Chemical Engineering, Stanford University; ChEM-H Institute, Stanford University; Department of Bioengineering, Stanford University; Department of Genetics, Stanford University; Department of Chemical Engineering, Stanford University; Howard Hughes Medical Institute, Stanford University; Department of Bioengineering, Stanford University; Department of Genetics, Stanford University; ChEM-H Institute, Stanford University; Chan Zuckerberg Biohub; Department of Bioengineering, Stanford University","[['Margarita Khariton', 'Department of Bioengineering, Stanford University'], ['Conor J. McClune', 'Department of Chemical Engineering, Stanford University', 'ChEM-H Institute, Stanford University'], ['Kara K. Brower', 'Department of Bioengineering, Stanford University'], ['Sandy Klemm', 'Department of Genetics, Stanford University'], ['Elizabeth S. Sattely', 'Department of Chemical Engineering, Stanford University', 'Howard Hughes Medical Institute, Stanford University'], ['Polly M. Fordyce', 'Department of Bioengineering, Stanford University', 'Department of Genetics, Stanford University', 'ChEM-H Institute, Stanford University', 'Chan Zuckerberg Biohub'], ['Bo Wang', 'Department of Bioengineering, Stanford University']]",NA,,,,,0,
4,2022-08-19,Britt Koskella,,Mason Kamalani Chock Jr.,"Department of Integrative Biology, University of California, Berkeley, CA, 94720, USA",bioRxiv,10.1101/2022.08.16.504148,,Leaf side determines the relative importance of dispersal versus host filtering in the phyllosphere microbiome,http://www.biorxiv.org/content/10.1101/2022.08.16.504148v1,"Leaf surface-associated bacterial communities play a significant role in plant health and have therefore been the focus of increasing interest. Despite this, we currently lack a predictive understanding of how leaf-associated bacterial communities are structured within and across hosts, including how leaf traits shape this variation and how community assembly processes may differ across distinct microbial habitats on a leaf. In this study, we characterize the composition of bacterial phyllosphere communities from the upper and lower leaf surfaces of 66 plants across 24 species grown at a common site using 16S rRNA amplicon sequencing. By comparing leaves that vary in pH and stomatal densities and analyzing the leaf surfaces separately, we were able to test the key factors shaping the phyllosphere across host plant species from diverse geographical origins. We found a surprisingly large shared/core microbiome across species, as well as a strong effect of plant species and native origin in shaping composition. Importantly, we found the lower leaf side, where pH values are generally lower and stomatal densities higher, to have lower taxonomic richness relative to the upper leaf side. While the upper leaf side community appears to be more strongly influenced by dispersal effects, the lower leaf appears to be more strongly influenced by plant host filtering effects, as supported by higher relative abundance of shared core taxa and higher signatures of endemism. This work highlights important differences in community assembly processes across the upper and lower leaf microbiomes and underscores the importance of considering differences among habitats within a host when explaining microbial community assembly and composition.",,,biorxiv;2022.08.16.504148,1,new results,01/17/2022,01/17/2022,,"Smets, W.; Chock, M. K.; Walsh, C. M.; Vanderburgh, C. Q.; Kau, E.; Lindow, S. E.; Fierer, N.; Koskella, B.",Wenke Smets; Mason K Chock; Corinne M Walsh; Caihong Qiu Vanderburgh; Ethan Kau; Steve E Lindow; Noah Fierer; Britt Koskella,"Department of Bioscience Engineering, University of Antwerp; Department of Integrative Biology, University of California; Cooperative Institute for Research in Environmental Sciences, University of Colorado; Department of Ecology and Evolutionary Biology, University of Colorado; Cooperative Institute for Research in Environmental Sciences, University of Colorado; Department of Integrative Biology, University of California; Department of Plant and Microbial Biology, University of California; Cooperative Institute for Research in Environmental Sciences, University of Colorado; Department of Ecology and Evolutionary Biology, University of Colorado; Department of Integrative Biology, University of California; Chan Zuckerberg Biohub","[['Wenke Smets', 'Department of Bioscience Engineering, University of Antwerp'], ['Mason K Chock', 'Department of Integrative Biology, University of California'], ['Corinne M Walsh', 'Cooperative Institute for Research in Environmental Sciences, University of Colorado', 'Department of Ecology and Evolutionary Biology, University of Colorado'], ['Caihong Qiu Vanderburgh', 'Cooperative Institute for Research in Environmental Sciences, University of Colorado'], ['Ethan Kau', 'Department of Integrative Biology, University of California'], ['Steve E Lindow', 'Department of Plant and Microbial Biology, University of California'], ['Noah Fierer', 'Cooperative Institute for Research in Environmental Sciences, University of Colorado', 'Department of Ecology and Evolutionary Biology, University of Colorado'], ['Britt Koskella', 'Department of Integrative Biology, University of California', 'Chan Zuckerberg Biohub']]",NA,,,,,0,
5,2022-08-19,Joseph DeRisi,,Diane Havlir,"University of California, San Francisco",medRxiv,10.1101/2022.08.17.22278913,,Field assessment of BinaxNOW antigen tests as COVID-19 treatment entry point at a community testing site in San Francisco during evolving omicron surges,http://medrxiv.org/content/early/2022/08/18/2022.08.17.22278913,"BackgroundCOVID-19 oral treatments require initiation within 5 days of symptom onset. Although antigen tests are less sensitive than RT-PCR, rapid results could facilitate entry to treatment. As SARS-CoV-2 variants and host immunity evolve, it is important to characterize the use case for rapid antigen tests for treatment entry.

MethodsWe collected anterior nasal swabs for BinaxNOW and RT-PCR testing and clinical data at a walk-up, community site in San Francisco, California between January and June 2022. SARS-CoV-2 genomic sequences were generated from positive samples and classified according to subtype and variant. Monte Carlo simulations were conducted to estimate the expected proportion of SARS-CoV-2 infected persons who would have been diagnosed within 5 days of symptom onset using RT-PCR versus BinaxNOW testing.

ResultsAmong 25,309 persons tested with BinaxNOW, 2,952 had concomitant RT-PCR. 1321/2952 (44.7%) were SARS-CoV-2 RT-PCR positive. We identified waves of predominant omicron BA.1, BA.2, BA.2.12, BA.4, and BA.5 among 720 sequenced samples. Among 1,321 RT-PCR positive samples, 938/1321 (71%) were detected by BinaxNOW; 95% (774/817) of those with Ct value <30 were detected by BinaxNOW. BinaxNOW detection was consistent over lineages. In analyses to evaluate entry to treatment, BinaxNOW detected 82.7% (410/496, 95% CI: 79-86%) of persons with COVID-19 within 5 days of symptom onset. In comparison, RT-PCR (24-hour turnaround) detected 83.1% (412/496 95% CI: 79-86%) and RT-PCR (48-hour turnaround) detected 66.3% (329/496 95% CI: 62-70%) of persons with COVID-19 within 5 days of symptom onset.

ConclusionsBinaxNOW detected high viral load from anterior nasal swabs consistently across omicron sublineages emerging between January and June of 2022. Simulations support BinaxNOW as an entry point for COVID-19 treatment in a community field setting.",,,medrxiv;2022.08.17.22278913,1,PUBLISHAHEADOFPRINT,01/18/2022,01/18/2022,,"Schrom, J.; Marquez, C.; Wang, C.-Y.; Saxena, A.; Mitchell, A.; Ribeiro, S.; Pilarowski, G.; Nakamura, R.; Rojas, S.; Black, D.; Contreras Oseguera, M.; Castellanos Diaz, E.; Payan, J.; Rojas, S.; Jones, D.; Tulier-Laiwa, V.; Zavaleta, A.; Martinez, J.; Chamie, G.; Glaser, C.; Jacobson, K.; Petersen, M.; DeRisi, J.; Havlir, D.",John Schrom; Carina Marquez; Chung-Yu Wang; Aditi Saxena; Anthea M. Mitchell; Salu Ribeiro; Genay Pilarowski; Robert Nakamura; Susana Rojas; Douglas Black; Maria G. Contreras Oseguera; Edgar Castellanos Diaz; Joselin Payan; Susy Rojas; Diane Jones; Valerie Tulier-Laiwa; Aleks Zavaleta; Jacqueline Martinez; Gabriel Chamie; Carol Glaser; Kathy Jacobsen; Maya Petersen; Joseph DeRisi; Diane Havlir,"Division of HIV, Infectious Diseases, and Global Medicine, University of California; Division of HIV, Infectious Diseases, and Global Medicine, University of California; Chan Zuckerberg Biohub; Chan Zuckerberg Biohub; Chan Zuckerberg Biohub; Unidos en Salud; Chan Zuckerberg Biohub; California Department of Public Health; Unidos en Salud; Division of HIV, Infectious Diseases, and Global Medicine, University of California; Unidos en Salud; Unidos en Salud; Unidos en Salud; Unidos en Salud; Unidos en Salud; Unidos en Salud and Latino Task Force; Unidos en Salud and Latino Task Force; Unidos en Salud; Division of HIV, Infectious Diseases, and Global Medicine, University of California; California Department of Public Health; California Department of Public Health; Division of Biostatistics, University of California; Chan Zuckerberg Biohub; Division of HIV, Infectious Diseases, and Global Medicine, University of California","[['John Schrom', 'Division of HIV, Infectious Diseases, and Global Medicine, University of California'], ['Carina Marquez', 'Division of HIV, Infectious Diseases, and Global Medicine, University of California'], ['Chung-Yu Wang', 'Chan Zuckerberg Biohub'], ['Aditi Saxena', 'Chan Zuckerberg Biohub'], ['Anthea M. Mitchell', 'Chan Zuckerberg Biohub'], ['Salu Ribeiro', 'Unidos en Salud'], ['Genay Pilarowski', 'Chan Zuckerberg Biohub'], ['Robert Nakamura', 'California Department of Public Health'], ['Susana Rojas', 'Unidos en Salud'], ['Douglas Black', 'Division of HIV, Infectious Diseases, and Global Medicine, University of California'], ['Maria G. Contreras Oseguera', 'Unidos en Salud'], ['Edgar Castellanos Diaz', 'Unidos en Salud'], ['Joselin Payan', 'Unidos en Salud'], ['Susy Rojas', 'Unidos en Salud'], ['Diane Jones', 'Unidos en Salud'], ['Valerie Tulier-Laiwa', 'Unidos en Salud and Latino Task Force'], ['Aleks Zavaleta', 'Unidos en Salud and Latino Task Force'], ['Jacqueline Martinez', 'Unidos en Salud'], ['Gabriel Chamie', 'Division of HIV, Infectious Diseases, and Global Medicine, University of California'], ['Carol Glaser', 'California Department of Public Health'], ['Kathy Jacobsen', 'California Department of Public Health'], ['Maya Petersen', 'Division of Biostatistics, University of California'], ['Joseph DeRisi', 'Chan Zuckerberg Biohub'], ['Diane Havlir', 'Division of HIV, Infectious Diseases, and Global Medicine, University of California']]",NA,,,,,0,
6,2022-08-19,Seemay Chou,,Seemay Chou,"Department of Biochemistry & Biophysics, University of California San Francisco, San Francisco, CA; Chan Zuckerberg Biohub, San Francisco, CA 94158",bioRxiv,10.1101/2022.08.17.504163,,"mNGS Investigation of Single Ixodes pacificus Ticks Reveals Diverse Microbes, Viruses, and a Novel mRNA-like Endogenous Viral Elements",http://www.biorxiv.org/content/10.1101/2022.08.17.504163v1,"Ticks are increasingly important vectors of human and agricultural diseases. While many studies have focused on tick-borne bacteria, far less is known about tick-associated viruses and their roles in public health or tick physiology. To address this, we investigated patterns of bacterial and viral communities across two field populations of western black-legged ticks (Ixodes pacificus). Through metatranscriptomic analysis of 100 individual ticks, we quantified taxon prevalence, abundance, and co-occurrence with other members of the tick microbiome. Our analysis revealed 11 novel RNA viruses from Rhabdoviridae, Chuviridae, Picornaviridae, Phenuiviridae, Reoviridae, Solemovidiae, Narnaviridae, and 2 highly divergent RNA viruses lacking sequence similarity to known viral families. The majority of these viruses were also detectable in lab-raised ticks at all developmental life stages, localize to tick salivary glands, and show evidence of circulation in mice fed on by ticks. These data suggest that viruses are stable, heritable, and transmissible members of the tick microbiota. We also unexpectedly identified numerous virus-like transcripts that are associated with tick genomic DNA, most of which are distinct from known endogenous viral element-mediated immunity pathways in invertebrates. Together, our work reveals that in addition to potentially serving as vectors for potential viral pathogens, I. pacificus ticks may also have symbiotic partnerships with their own vertically-transmitted viruses or with ancient viruses through evolutionarily acquired virus-like transcripts. Our findings highlight how pervasive and intimate tick-virus interactions are, with major implications for both the fundamental physiology and vector biology of I. pacificus ticks.",,,biorxiv;2022.08.17.504163,1,new results,01/18/2022,01/18/2022,,"Martyn, C.; Hayes, B.; Lauko, D.; Mithun, E.; Castaneda, G.; Bosco-Lauth, A.; Kistler, A.; Pollard, K.; Chou, S.",Calla Martyn; Beth M. Hayes; Domokos Lauko; Edward Mithun; Gloria Castañeda; Angela Bosco-Lauth; Amy Kistler; Katherine S. Pollard; Seemay Chou,"Department of Biochemistry & Biophysics, University of California – San Francisco; Gladstone Institute of Data Science & Biotechnology; Department of Biochemistry & Biophysics, University of California – San Francisco; One Health Institute, Colorado State University - Fort Collins; Department of Biochemistry & Biophysics, University of California – San Francisco; Department of Biomedical Sciences, Colorado State University - Fort Collins; Chan Zuckerberg Biohub; Department of Biomedical Sciences, Colorado State University - Fort Collins; Chan Zuckerberg Biohub; Gladstone Institute of Data Science & Biotechnology; Chan Zuckerberg Biohub; Department of Epidemiology & Biostatistics, University of California - San Francisco; Department of Biochemistry & Biophysics, University of California – San Francisco; Chan Zuckerberg Biohub","[['Calla Martyn', 'Department of Biochemistry & Biophysics, University of California – San Francisco', 'Gladstone Institute of Data Science & Biotechnology'], ['Beth M. Hayes', 'Department of Biochemistry & Biophysics, University of California – San Francisco', 'One Health Institute, Colorado State University - Fort Collins'], ['Domokos Lauko', 'Department of Biochemistry & Biophysics, University of California – San Francisco'], ['Edward Mithun', 'Department of Biomedical Sciences, Colorado State University - Fort Collins'], ['Gloria Castañeda', 'Chan Zuckerberg Biohub'], ['Angela Bosco-Lauth', 'Department of Biomedical Sciences, Colorado State University - Fort Collins'], ['Amy Kistler', 'Chan Zuckerberg Biohub'], ['Katherine S. Pollard', 'Gladstone Institute of Data Science & Biotechnology', 'Chan Zuckerberg Biohub', 'Department of Epidemiology & Biostatistics, University of California - San Francisco'], ['Seemay Chou', 'Department of Biochemistry & Biophysics, University of California – San Francisco', 'Chan Zuckerberg Biohub']]",NA,,,,,0,
7,2022-08-19,,,,,arxiv,10.48550/arXiv.2208.10661,,Therapeutic algebra of immunomodulatory drug responses at single-cell resolution,https://arxiv.org/abs/2208.10661,"Therapeutic modulation of immune states is central to the treatment of humandisease. However, how drugs and drug combinations impact the diverse cell typesin the human immune system remains poorly understood at the transcriptomescale. Here, we apply single-cell mRNA-seq to profile the response of humanimmune cells to 502 immunomodulatory drugs alone and in combination. We developa unified mathematical model that quantitatively describes the transcriptomescale response of myeloid and lymphoid cell types to individual drugs and drugcombinations through a single inferred regulatory network. The mathematicalmodel reveals how drug combinations generate novel, macrophage and T-cellstates by recruiting combinations of gene expression programs through bothadditive and non-additive drug interactions. A simplified drug response algebraallows us to predict the continuous modulation of immune cell populationsbetween activated, resting and hyper-inhibited states through combinatorialdrug dose titrations. Our results suggest that transcriptome-scale mathematicalmodels could enable the design of therapeutic strategies for programming thehuman immune system using combinations of therapeutics.",,https://arxiv.org/pdf/2208.10661,arXiv:2208.10661v1,,,08/23/2022,08/23/2022,,,"Jialong Jiang, Sisi Chen, Tiffany Tsou, Christopher S. McGinnis, Tahmineh Khazaei, Qin Zhu, Jong H. Park, Paul Rivaud, Inna-Marie Strazhnik, Eric D. Chow, David A. Sivak, Zev J. Gartner, Matt Thomson",,,,,,,,0,
8,2022-08-19,,,,,arxiv,10.48550/arXiv.2208.11223,,"POPDx: An Automated Framework for Patient Phenotyping across 392,246 Individuals in the UK Biobank Study",https://arxiv.org/abs/2208.11223,"Objective For the UK Biobank standardized phenotype codes are associated withpatients who have been hospitalized but are missing for many patients who havebeen treated exclusively in an outpatient setting. We describe a method forphenotype recognition that imputes phenotype codes for all UK Biobankparticipants. Materials and Methods POPDx (Population-based ObjectivePhenotyping by Deep Extrapolation) is a bilinear machine learning framework forsimultaneously estimating the probabilities of 1,538 phenotype codes. Weextracted phenotypic and health-related information of 392,246 individuals fromthe UK Biobank for POPDx development and evaluation. A total of 12,803 ICD-10diagnosis codes of the patients were converted to 1,538 Phecodes as goldstandard labels. The POPDx framework was evaluated and compared to otheravailable methods on automated multi-phenotype recognition. Results POPDx canpredict phenotypes that are rare or even unobserved in training. We demonstratesubstantial improvement of automated multi-phenotype recognition across 22disease categories, and its application in identifying key epidemiologicalfeatures associated with each phenotype. Conclusions POPDx helps providewell-defined cohorts for downstream studies. It is a general purpose methodthat can be applied to other biobanks with diverse but incomplete data.",,https://arxiv.org/pdf/2208.11223,arXiv:2208.11223v1,,,08/23/2022,08/23/2022,,,"Lu Yang, Sheng Wang, Russ B. Altman",,,,,,,,0,
9,2022-08-19,,,,,arxiv,10.48550/arXiv.2209.09105,,Development and Clinical Evaluation of an AI Support Tool for Improving Telemedicine Photo Quality,https://arxiv.org/abs/2209.09105,"Telemedicine utilization was accelerated during the COVID-19 pandemic, andskin conditions were a common use case. However, the quality of photographssent by patients remains a major limitation. To address this issue, wedeveloped TrueImage 2.0, an artificial intelligence (AI) model for assessingpatient photo quality for telemedicine and providing real-time feedback topatients for photo quality improvement. TrueImage 2.0 was trained on 1700telemedicine images annotated by clinicians for photo quality. On aretrospective dataset of 357 telemedicine images, TrueImage 2.0 effectivelyidentified poor quality images (Receiver operator curve area under the curve(ROC-AUC) =0.78) and the reason for poor quality (Blurry ROC-AUC=0.84, Lightingissues ROC-AUC=0.70). The performance is consistent across age, gender, andskin tone. Next, we assessed whether patient-TrueImage 2.0 interaction led toan improvement in submitted photo quality through a prospective clinical pilotstudy with 98 patients. TrueImage 2.0 reduced the number of patients with apoor-quality image by 68.0%.",,https://arxiv.org/pdf/2209.09105,arXiv:2209.09105v1,,,09/12/2022,09/12/2022,,,"Kailas Vodrahalli, Justin Ko, Albert S. Chiou, Roberto Novoa, Abubakar Abid, Michelle Phung, Kiana Yekrang, Paige Petrone, James Zou, Roxana Daneshjou",,,,,,,,0,
10,2022-08-19,,,,,arxiv,10.48550/arXiv.2209.15458,,Towards General-Purpose Representation Learning of Polygonal Geometries,https://arxiv.org/abs/2209.15458,"Neural network representation learning for spatial data is a common need forgeographic artificial intelligence (GeoAI) problems. In recent years, manyadvancements have been made in representation learning for points, polylines,and networks, whereas little progress has been made for polygons, especiallycomplex polygonal geometries. In this work, we focus on developing ageneral-purpose polygon encoding model, which can encode a polygonal geometry(with or without holes, single or multipolygons) into an embedding space. Theresult embeddings can be leveraged directly (or finetuned) for downstream taskssuch as shape classification, spatial relation prediction, and so on. Toachieve model generalizability guarantees, we identify a few desirableproperties: loop origin invariance, trivial vertex invariance, part permutationinvariance, and topology awareness. We explore two different designs for theencoder: one derives all representations in the spatial domain; the otherleverages spectral domain representations. For the spatial domain approach, wepropose ResNet1D, a 1D CNN-based polygon encoder, which uses circular paddingto achieve loop origin invariance on simple polygons. For the spectral domainapproach, we develop NUFTspec based on Non-Uniform Fourier Transformation(NUFT), which naturally satisfies all the desired properties. We conductexperiments on two tasks: 1) shape classification based on MNIST; 2) spatialrelation prediction based on two new datasets - DBSR-46K and DBSR-cplx46K. Ourresults show that NUFTspec and ResNet1D outperform multiple existing baselineswith significant margins. While ResNet1D suffers from model performancedegradation after shape-invariance geometry modifications, NUFTspec is veryrobust to these modifications due to the nature of the NUFT.",,https://arxiv.org/pdf/2209.15458,arXiv:2209.15458v1,,,09/29/2022,09/29/2022,,,"Gengchen Mai, Chiyu Jiang, Weiwei Sun, Rui Zhu, Yao Xuan, Ling Cai, Krzysztof Janowicz, Stefano Ermon, Ni Lao",,,,,,,,0,
