record id,save datetime,biohub author,possible biohub author,format biohub author,corresponding author,corresponding author institution,journal,doi,pmid,title,url,abstract,keyword,pdf url,version,version number,type,date,epost date,publish date,authors,authors2,affiliations list,author - affiliations,published or not,confirm published doi,confirm preprint doi,possible match result,match id,record change number
1,2023-02-01,"Xu, Ke",,"Xu, Ke",,,Omega,10.1177/0030222821992194,33530890.0,Bereavement After Patient Deaths Among Chinese Physicians and Nurses: A Qualitative Description Study.,https://pubmed.ncbi.nlm.nih.gov/33530890,"In order to achieve an in-depth understanding of professional caregivers' experiences of bereavement after patient deaths in Mainland China, qualitative description was employed. 24 physicians and nurses from hospitals in Nanjing, China, participated in one-to-one, semi-structured interviews. Thematic analysis was adopted for data analysis. Five themes were generated: the nature of professional bereavement experiences, the meaning of patient deaths, immediate bereavement reactions, long-term changes, and coping strategies. Each theme included personal and professional dimensions. Professional bereavement experiences in Mainland China were found to be influenced by workplace violence against professional caregivers, traditional Chinese medical ethics, the strong death taboo, and inadequacies of the healthcare system. Professional bereavement experiences are meaning-driven, comprehensive, and usually disenfranchised. They involve multidimensional reactions and have both short-term and long-lasting, both event-specific and accumulated impacts. Cultural and systemic factors could shape professional bereavement experiences.",Mainland China; nurses; physicians; professional bereavement; qualitative description,,,,,2021-02-04,2021/02/02,2021/2/4,Chuqian Chen; Amy Yin Man Chow; Ke Xu,,"Department of Cardiology, Shanghai Chest Hospital, Shanghai Jiao Tong University, Shanghai, China.; Department of Medical Humanities, School of Humanities, Southeast University, Nanjing, China.; Department of Social Work and Social Administration, The University of Hong Kong, Hong Kong SAR, China.","Chuqian Chen: Department of Medical Humanities, School of Humanities, Southeast University, Nanjing, China.Amy Yin Man Chow: Department of Social Work and Social Administration, The University of Hong Kong, Hong Kong SAR, China.Ke Xu: Department of Cardiology, Shanghai Chest Hospital, Shanghai Jiao Tong University, Shanghai, China.",,,,,,0
2,2023-02-01,"Brown, J[ames]",,,Jared M Brown,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of Colorado, Anschutz Medical Campus, Aurora, CO, 80045, USA. Jared.Brown@cuanschutz.edu.",Biological trace element research,10.1007/s12011-022-03163-0,35195856.0,A Single-Step Digestion for the Quantification and Characterization of Trace Particulate Silica Content in Biological Matrices Using Single Particle Inductively Coupled Plasma-Mass Spectrometry.,https://pubmed.ncbi.nlm.nih.gov/35195856,"The increased use of amorphous silica nanoparticles (SiNPs) in food products, materials science, cosmetics, and pharmaceuticals has raised questions about potential hazards in the environment and in human health. Although SiNPs are generally thought to be benign, recent studies have demonstrated toxicity in different cell and animal models. Despite their ubiquitous use, SiNPs are rarely analyzed quantitatively. Often, the methods used to analyze silicon and SiNPs are difficult, costly, require the use of dangerous reagents, and are prone to interferences. Additionally, characterization of SiNPs in complex matrices requires extensive sample preparation. To address this, we propose a single-step digestion method for the determination of trace SiNP content in biological matrices. For conventional inductively coupled plasma-mass spectrometry (ICP-MS) analysis, biological samples are often digested with concentrated HNO",Single particle inductively coupled plasma-mass spectrometry,,,,,2022-02-24,2022/02/23,2022/2/24,Keegan L Rogers; Jared M Brown,,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of Colorado, Anschutz Medical Campus, Aurora, CO, 80045, USA.; Skaggs School of Pharmacy and Pharmaceutical Sciences, University of Colorado, Anschutz Medical Campus, Aurora, CO, 80045, USA. Jared.Brown@cuanschutz.edu.","Keegan L Rogers: Skaggs School of Pharmacy and Pharmaceutical Sciences, University of Colorado, Anschutz Medical Campus, Aurora, CO, 80045, USA.Jared M Brown: Skaggs School of Pharmacy and Pharmaceutical Sciences, University of Colorado, Anschutz Medical Campus, Aurora, CO, 80045, USA. Jared.Brown@cuanschutz.edu.",,,,,,0
3,2023-02-01,"Brown, J[ames]",,,Ibrahim Sultan,"Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania. Electronic address: sultani@upmc.edu.",The Annals of thoracic surgery,10.1016/j.athoracsur.2022.05.052,35777500.0,Impact of Aortic Root Enlargement on Patients Undergoing Aortic Valve Replacement.,https://pubmed.ncbi.nlm.nih.gov/35777500,Aortic root enlargement (ARE) can be an important adjunct for aortic valve replacement (AVR). This study compared outcomes of AVR with or without ARE.,,,,,,2022-07-02,2022/06/28,2022/7/2,Sarah Yousef; James A Brown; Derek Serna-Gallegos; Forozan Navid; Nav Warraich; Pyongsoo Yoon; David Kaczorowski; Johannes Bonatti; Yisi Wang; Ibrahim Sultan,,"Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania.; Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.; Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania. Electronic address: sultani@upmc.edu.","Sarah Yousef: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania.James A Brown: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania.Derek Serna-Gallegos: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.Forozan Navid: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.Nav Warraich: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania.Pyongsoo Yoon: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.David Kaczorowski: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.Johannes Bonatti: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.Yisi Wang: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania.Ibrahim Sultan: Division of Cardiac Surgery, Department of Cardiothoracic Surgery, University of Pittsburgh, Pittsburgh, Pennsylvania; Heart and Vascular Institute, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania. Electronic address: sultani@upmc.edu.",,,,,,0
4,2023-02-01,"Brown, J[ames]",,,,,"Addiction (Abingdon, England)",10.1111/add.16029,35971298.0,"Cutting down, quitting and motivation to stop smoking by self-reported COVID-19 status: Representative cross-sectional surveys in England.",https://pubmed.ncbi.nlm.nih.gov/35971298,"To examine the association of self-reported COVID-19 disease status with cutting down, past-month and past-year quit attempts and motivation to stop smoking.",COVID-19; motivation; pandemic; quit attempts; smoking cessation; tobacco cessation,,,,,2022-08-26,2022/08/26,2022/8/17,Sharon Cox; Harry Tattan-Birch; Sarah E Jackson; Lynne Dawkins; Jamie Brown; Lion Shahab,,"Centre for Addictive Behaviours Research, London South Bank University, London, UK.; Department of Behavioural Science and Health, University College London, London, UK.; Spectrum Research Consortium, Usher Institute, Old Medical School, University of Edinburgh, Edinburgh, UK.","Sharon Cox: Department of Behavioural Science and Health, University College London, London, UK.; Spectrum Research Consortium, Usher Institute, Old Medical School, University of Edinburgh, Edinburgh, UK.Harry Tattan-Birch: Department of Behavioural Science and Health, University College London, London, UK.; Spectrum Research Consortium, Usher Institute, Old Medical School, University of Edinburgh, Edinburgh, UK.Sarah E Jackson: Department of Behavioural Science and Health, University College London, London, UK.; Spectrum Research Consortium, Usher Institute, Old Medical School, University of Edinburgh, Edinburgh, UK.Lynne Dawkins: Centre for Addictive Behaviours Research, London South Bank University, London, UK.Jamie Brown: Department of Behavioural Science and Health, University College London, London, UK.; Spectrum Research Consortium, Usher Institute, Old Medical School, University of Edinburgh, Edinburgh, UK.Lion Shahab: Department of Behavioural Science and Health, University College London, London, UK.; Spectrum Research Consortium, Usher Institute, Old Medical School, University of Edinburgh, Edinburgh, UK.",,,,,,0
5,2023-02-01,"Brown, J[ames]",,,,,"Addiction (Abingdon, England)",10.1111/add.16044,36065820.0,Rapid growth in disposable e-cigarette vaping among young adults in Great Britain from 2021 to 2022: a repeat cross-sectional survey.,https://pubmed.ncbi.nlm.nih.gov/36065820,"To estimate recent trends in the prevalence of disposable e-cigarette vaping in Great Britain, overall and across ages, and to measure these trends in the context of changes in smoking and vaping prevalence.",Disposable e-cigarettes; ENDS; Elf Bar; England; Puff Bar; Scotland; Wales; electronic nicotine delivery systems; vaping; young adults,,,,,2022-09-11,2022/09/11,2022/9/7,Harry Tattan-Birch; Sarah E Jackson; Loren Kock; Martin Dockrell; Jamie Brown,,"Addictions and Inclusion, Office for Health Improvement and Disparities, London, UK.; Department of Behavioural Science and Health, University College London, London, UK.; SPECTRUM Consortium, London, UK.","Harry Tattan-Birch: Department of Behavioural Science and Health, University College London, London, UK.; SPECTRUM Consortium, London, UK.Sarah E Jackson: Department of Behavioural Science and Health, University College London, London, UK.; SPECTRUM Consortium, London, UK.Loren Kock: Department of Behavioural Science and Health, University College London, London, UK.; SPECTRUM Consortium, London, UK.Martin Dockrell: Addictions and Inclusion, Office for Health Improvement and Disparities, London, UK.Jamie Brown: Department of Behavioural Science and Health, University College London, London, UK.; SPECTRUM Consortium, London, UK.",,,10.1101/2022.05.06.22274762,,,0
6,2023-02-01,"Song, Yun",,"Song, Yun",Ju Han,"Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China. hanjujack@163.com.",European radiology,10.1007/s00330-022-09129-z,36136108.0,Plaque modification and stabilization after drug-coated balloon angioplasty for intracranial atherosclerotic lesions.,https://pubmed.ncbi.nlm.nih.gov/36136108,A drug-coated balloon (DCB) has potential applications in the treatment of intracranial atherosclerotic disease (ICAD). We aimed to evaluate changes of vessel wall features of ICAD lesions after DCB treatment by using vessel wall MRI (VWMRI).,Angioplasty; Follow-up studies; Intracranial atherosclerosis; MRI,,,,,2022-09-23,2022/09/22,2022/9/23,Yao Meng; Yuyan Zhang; Xi Chu; Yun Song; Wei Zhao; Meimei Zheng; Jun Zhang; Ju Han,,"Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.; Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China. hanjujack@163.com.","Yao Meng: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Yuyan Zhang: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Xi Chu: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Yun Song: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Wei Zhao: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Meimei Zheng: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Jun Zhang: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China.Ju Han: Department of Neurology, The First Affiliated Hospital of Shandong First Medical University & Shandong Provincial Qianfoshan Hospital, 16766 Jingshi Road, Jinan, 250014, Shandong, China. hanjujack@163.com.",,,,,,0
7,2023-02-01,"Brown, J[ames]",,,,,Medicine and science in sports and exercise,10.1249/MSS.0000000000003050,36170550.0,WISER Survivor Trial: Combined Effect of Exercise and Weight Loss Interventions on Inflammation in Breast Cancer Survivors.,https://pubmed.ncbi.nlm.nih.gov/36170550,Physical inactivity and obesity increase risk for breast cancer recurrence and cardiovascular death; inflammation is hypothesized to mediate these associations.,,,,,,2022-09-29,2022/09/29,2022/9/29,Kathleen M Sturgeon; Justin C Brown; Dorothy D Sears; David B Sarwer; Kathryn H Schmitz,,"; Cancer Metabolism Program, Pennington Biomedical Research Center, Baton Rouge, LA.; Center for Obesity Research and Education, College of Public Health, Temple University, Philadelphia, PA.; Department of Public Health Sciences, College of Medicine, Pennsylvania State University, Hershey, PA.","Kathleen M Sturgeon: Department of Public Health Sciences, College of Medicine, Pennsylvania State University, Hershey, PA.Justin C Brown: Cancer Metabolism Program, Pennington Biomedical Research Center, Baton Rouge, LA.Dorothy D Sears: David B Sarwer: Center for Obesity Research and Education, College of Public Health, Temple University, Philadelphia, PA.Kathryn H Schmitz: Department of Public Health Sciences, College of Medicine, Pennsylvania State University, Hershey, PA.",,,,,,0
8,2023-02-01,"Xu, Ke",,"Xu, Ke",Hanjin Luo,"School of Environment and Energy, South China University of Technology, Guangzhou 510006, China. Electronic address: hjluo@scut.edu.cn.",Journal of environmental sciences (China),10.1016/j.jes.2021.09.037,36182145.0,Efficient removal of Cr(VI) by a 3D Z-scheme TiO,https://pubmed.ncbi.nlm.nih.gov/36182145,"Efficient and robust photocatalysts for environmental pollutants removal with outstanding stability have great significance. Herein, we report a kind of three dimensional (3D) photocatalyst presented as Z-scheme heterojunction, which combining TiO",Adsorption; Cr(VI); Graphene aerogel; Photocatalysis; Photocatalyst,,,,,2022-10-02,2022/02/03,2022/10/2,Qianwei Liang; Xin Chen; Ruina Liu; Ke Xu; Hanjin Luo,,"Hainan Tropical Ocean University, School of Ecology and Environment, Sanya 572000, China.; School of Chemistry and Chemical Engineering, South China University of Technology, Guangzhou 510641, China.; School of Environment and Energy, South China University of Technology, Guangzhou 510006, China.; School of Environment and Energy, South China University of Technology, Guangzhou 510006, China. Electronic address: hjluo@scut.edu.cn.","Qianwei Liang: School of Chemistry and Chemical Engineering, South China University of Technology, Guangzhou 510641, China.Xin Chen: School of Chemistry and Chemical Engineering, South China University of Technology, Guangzhou 510641, China.Ruina Liu: Hainan Tropical Ocean University, School of Ecology and Environment, Sanya 572000, China.Ke Xu: School of Environment and Energy, South China University of Technology, Guangzhou 510006, China.Hanjin Luo: School of Environment and Energy, South China University of Technology, Guangzhou 510006, China. Electronic address: hjluo@scut.edu.cn.",,,,,,0
9,2023-02-01,"Huang, Bo",,"Huang, Bo",Chunlei Cheng; Mei Li,"Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China. Electronic address: chengcl@jnu.edu.cn.Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China. Electronic address: limei@jnu.edu.cn.",Journal of environmental sciences (China),10.1016/j.jes.2022.02.003,36182185.0,Detection of polycyclic aromatic hydrocarbons using a high performance-single particle aerosol mass spectrometer.,https://pubmed.ncbi.nlm.nih.gov/36182185,"The real-time detection of the mixing states of polycyclic aromatic hydrocarbons (PAHs) and nitro-PAHs in ambient particles is of great significance for analyzing the source, aging process, and health effects of PAHs and nitro-PAHs; yet there is still few effective technology to achieve this type of detection. In this study, 11 types of PAH and nitro-PAH standard samples were analyzed using a high performance-single particle aerosol mass spectrometer (HP-SPAMS) in lab studies. The identification principles 'parent ions' and 'mass-to-charge (m/z) = 77' of each compound were obtained in this study. It was found that different laser energies did not affect the identification of the parent ions. The comparative experiments of ambient atmospheric particles, cooking and biomass burning emitted particles with and without the addition of PAHs were conducted and ruled out the interferences from primary and secondary organics on the identification of PAHs. Besides, the reliability of the characteristic ions extraction method was evaluated through the comparative study of similarity algorithm and deep learning algorithm. In addition, the real PAH-containing particles from vehicle exhaust emissions and ambient particles were also analyzed. This study improves the ability of single particle mass spectrometry technology to detect PAHs and nitro-PAHs, and HP-SPAMS was superior to SPAMS for detecting single particles containing PAHs and nitro-PAHs. This study provides support for subsequent ambient observations to identify the characteristic spectrum of single particles containing PAHs and nitro-PAHs.",Aerosol; Identification principles; Mass spectrometry; Polycyclic aromatic hydrocarbons; Single particle,,,,,2022-10-02,2022/02/16,2022/10/2,Yao Zhang; Chenglei Pei; Jinwen Zhang; Chunlei Cheng; Xiufeng Lian; Mubai Chen; Bo Huang; Zhong Fu; Zhen Zhou; Mei Li,,"Guangzhou Environmental Monitoring Center, Guangzhou 510030, China.; Guangzhou Hexin Analytical Instrument Company Limited, Guangzhou 510530, China.; Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China.; Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China. Electronic address: chengcl@jnu.edu.cn.; Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China. Electronic address: limei@jnu.edu.cn.","Yao Zhang: Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China.Chenglei Pei: Guangzhou Environmental Monitoring Center, Guangzhou 510030, China.Jinwen Zhang: Guangzhou Hexin Analytical Instrument Company Limited, Guangzhou 510530, China.Chunlei Cheng: Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China. Electronic address: chengcl@jnu.edu.cn.Xiufeng Lian: Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China.Mubai Chen: Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China.Bo Huang: Guangzhou Hexin Analytical Instrument Company Limited, Guangzhou 510530, China.Zhong Fu: Guangzhou Hexin Analytical Instrument Company Limited, Guangzhou 510530, China.Zhen Zhou: Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China.Mei Li: Institute of Mass Spectrometry and Atmospheric Environment, Guangdong Provincial Engineering Research Center for On-line Source Apportionment System of Air pollution, Jinan University, Guangzhou 510632, China; Guangdong-Hongkong-Macau Joint Laboratory of Collaborative Innovation for Environmental Quality, Guangzhou 510632, China. Electronic address: limei@jnu.edu.cn.",,,,,,0
10,2023-02-01,"Brown, J[ames]",,,,,Journal of neurosurgery. Spine,10.3171/2022.8.SPINE22291,36208430.0,Restoring bladder function using motor and sensory nerve transfers: a cadaveric feasibility study.,https://pubmed.ncbi.nlm.nih.gov/36208430,"Bladder dysfunction after nerve injury has a variable presentation, and extent of injury determines whether the bladder is spastic or atonic. The authors have proposed a series of 3 nerve transfers for functional innervation of the detrusor muscle and external urethral sphincter, along with sensory innervation to the genital dermatome. These transfers are applicable to only cases with low spinal segment injuries (sacral nerve root function is lost) and largely preserved lumbar function. Transfer of the posterior branch of the obturator nerve to the vesical branch of the pelvic nerve provides a feasible mechanism for patients to initiate detrusor contraction by thigh adduction. External urethra innervation (motor and sensory) may be accomplished by transfer of the vastus medialis nerve to the pudendal nerve. The sensory component of the pudendal nerve to the genitalia may be further enhanced by transfer of the saphenous nerve (sensory) to the pudendal nerve. The main limitations of coapting the nerve donors to their intrapelvic targets are the bifurcation or arborization points of the parent nerve. To ensure that the donor nerves had sufficient length and diameter, the authors sought to measure these parameters.",bladder; detrusor muscle; incontinence; micturition; obturator nerve; sacral,,,,,2022-10-09,2022/10/07,2022/10/9,Benjamin R Johnston; Stanley Bazarek; Margaret Sten; Brian S McIntyre; Noam Fine; Elise J B De; Francis McGovern; Nucelio Lemos; Michael R Ruggieri; Mary F Barbe; Justin M Brown,,"1Department of Neurosurgery, Brigham and Women's Hospital, Boston.; 2Department of Neurosurgery, Massachusetts General Hospital, Boston, Massachusetts.; 3Drexel University College of Medicine, Philadelphia, Pennsylvania.; 4Department of Urology, Massachusetts General Hospital, Boston, Massachusetts.; 5Department of Obstetrics & Gynaecology, University of Toronto, Ontario, Canada; and.; 6Department of Anatomy and Cell Biology, Lewis Katz School of Medicine, Philadelphia, Pennsylvania.","Benjamin R Johnston: 1Department of Neurosurgery, Brigham and Women's Hospital, Boston.Stanley Bazarek: 1Department of Neurosurgery, Brigham and Women's Hospital, Boston.Margaret Sten: 2Department of Neurosurgery, Massachusetts General Hospital, Boston, Massachusetts.Brian S McIntyre: 3Drexel University College of Medicine, Philadelphia, Pennsylvania.Noam Fine: 4Department of Urology, Massachusetts General Hospital, Boston, Massachusetts.Elise J B De: 4Department of Urology, Massachusetts General Hospital, Boston, Massachusetts.Francis McGovern: 4Department of Urology, Massachusetts General Hospital, Boston, Massachusetts.Nucelio Lemos: 5Department of Obstetrics & Gynaecology, University of Toronto, Ontario, Canada; and.Michael R Ruggieri: 6Department of Anatomy and Cell Biology, Lewis Katz School of Medicine, Philadelphia, Pennsylvania.Mary F Barbe: 6Department of Anatomy and Cell Biology, Lewis Katz School of Medicine, Philadelphia, Pennsylvania.Justin M Brown: 2Department of Neurosurgery, Massachusetts General Hospital, Boston, Massachusetts.",,,,,,0
