AuthorNo,pmid,name,ORCID,LastName,ForeName,Initials,affiliation,ISEmail,ISBiohub author,Suffix,BiohubAuthor,MatchName,TrustMatch,MatchType,OrcidMatch,EmailMatch,AffiliationMatch,Biohub,Biohub-Funding,Stanford,UCSF,Berkeley,Email,EqualContrib
b75c7d56-757d-4c7f-829a-4fc7bb91cf8b,36382191,Michael D Ward,,Ward,Michael D,MD,"Department of Biochemistry & Molecular Biophysics, Washington University School of Medicine, St. Louis, MO 63130, USA.; Center for the Science and Engineering of Living Systems, Washington University in St. Louis, St. Louis, MO 63130, USA.",,,,,,,,,,,,,,,,,
7245c239-8bf5-408d-9729-1767f260e27a,36382191,Gregory R Bowman,,Bowman,Gregory R,GR,"Department of Biochemistry & Molecular Biophysics, Washington University School of Medicine, St. Louis, MO 63130, USA.; Center for the Science and Engineering of Living Systems, Washington University in St. Louis, St. Louis, MO 63130, USA.",,,,,,,,,,,,,,,,,
cc68526e-bdda-4021-b867-52dab9c39682,36382191,Handuo Shi,,Shi,Handuo,H,"Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Bioengineering, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
36d1a29d-07d9-47cd-9194-8f226b00e410,36382191,Kerwyn Casey Huang,,Huang,Kerwyn Casey,KC,"Biophysics Program, Stanford University, Stanford, CA 94305, USA.; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Bioengineering, Stanford University, Stanford, CA 94305, USA.; Chan Zuckerberg Biohub, San Francisco, CA 94158, USA.",,Yes,,Investigator,"Huang, KC",Yes,FN-MN,,,,,,,,,,
94d5e09e-b4d0-43fe-b661-249ddc30a3d0,36252253,John Schrom,https://orcid.org/0000-0002-3871-4311,Schrom,John,J,"University of California, San Francisco, San Francisco, California.",,,,,,,,,,,,,,,,,
8c4aed5f-b6d3-4e92-b0ef-01f91f193a59,36252253,Carina Marquez,,Marquez,Carina,C,"University of California, San Francisco, San Francisco, California.",,,,,,,,,,,,,,,,,
e4274689-e6b1-43c3-8ca9-8b3f9a9f23ff,36252253,Maya Petersen,,Petersen,Maya,M,"University of California, Berkeley, Berkeley, California.",,,,,,,,,,,,,,,,,
ebab537a-42bc-403e-b40c-c7b6e90f0bdc,36252253,Joe DeRisi,https://orcid.org/0000-0002-4611-9205,DeRisi,Joe,J,"Chan Zuckerberg Biohub, San Francisco, California.",,Yes,,President,"DeRisi, Joe",Yes,NN,True,,,,,,,,,
3a773fbf-6f89-4e2c-b772-6b96bad50952,36252253,Diane Havlir,https://orcid.org/0000-0003-0761-3136,Havlir,Diane,D,"University of California, San Francisco, San Francisco, California.",,,,,,,,,,,,,,,,,
55f0e2d8-07a6-4686-a09b-74489ec03fd2,36220098,S Andrew Shuster,,Shuster,S Andrew,SA,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA; Neurosciences Program, Stanford University, CA 94305, USA.",,,,,,,,,,,,,,,,,
59bbe44b-18b6-491d-8dfb-b4e0c9cc22a0,36220098,Jiefu Li,,Li,Jiefu,J,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
f1e927f8-3ee5-49cd-985c-bf59800351eb,36220098,URee Chon,,Chon,URee,U,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA; Neurosciences Program, Stanford University, CA 94305, USA.",,,,,,,,,,,,,,,,,
db65e3c1-1934-4824-a9b1-df529c83c2c9,36220098,Miley C Sinantha-Hu,,Sinantha-Hu,Miley C,MC,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
096658f6-dddf-400d-a3d4-5cb2c42ff9e8,36220098,David J Luginbuhl,,Luginbuhl,David J,DJ,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
fed08e19-fdf4-43d0-b83a-080e91dbee24,36220098,Namrata D Udeshi,,Udeshi,Namrata D,ND,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
1af44575-71d9-4ab9-873f-f8fb941c1344,36220098,Dominique Kiki Carey,,Carey,Dominique Kiki,DK,"The Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.",,,,,,,,,,,,,,,,,
429a9f41-9463-45f6-a3f7-27f6e71f3ea7,36220098,Yukari H Takeo,,Takeo,Yukari H,YH,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA.",,,,,,,,,,,,,,,,,
f4e92dbd-6c12-46ec-9ff9-f802ce35ba17,36220098,Qijing Xie,,Xie,Qijing,Q,"Department of Biology and Howard Hughes Medical Institute, Stanford University, Stanford, CA 94305, USA; Neurosciences Program, Stanford University, CA 94305, USA.",,,,,,,,,,,,,,,,,
